"Season","Team","G","PA","AB","HR","R","SB","CS","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","H","2B","3B","HR","BB","HBP","wRC","WPA"
"1988","Phillies","2127","6055","5404","106","597","112","49",".272",".239",".306",".355",".298","88","9.2","1294","246","31","106","489","47","591","-4.27"
"1913","White Sox","1660","5449","4822","24","486","156","",".262",".236",".299",".311",".298","82","10.5","1139","157","66","24","398","36","485",""
"1982","Padres","2081","6160","5575","81","675","165","77",".290",".257",".311",".359",".298","90","23.8","1435","217","52","81","429","22","590","4.86"
"1990","Astros","2279","6076","5379","94","573","179","83",".279",".242",".313",".345",".298","85","10.5","1301","209","32","94","548","28","577","-3.97"
"1915","Robins","1619","5635","5120","14","536","131","126",".272",".248",".295",".317",".298","82","9.1","1268","165","75","14","313","27","500",""
"2017","Padres","2342","5954","5356","189","604","89","33",".287",".234",".299",".393",".298","82","7.0","1251","227","31","189","460","53","604","-5.52"
"1992","Mets","2308","6061","5340","93","599","129","52",".268",".235",".310",".342",".298","86","9.6","1254","259","17","93","572","28","564","-2.65"
"1871","Mutuals","297","1437","1404","1","302","46","15",".290",".287",".303",".350",".297","96","4.9","403","43","21","1","33","","319",""
"1988","Padres","2011","6032","5366","94","594","123","50",".278",".247",".310",".351",".297","91","21.2","1325","205","35","94","494","21","588","0.97"
"1991","Phillies","2215","6133","5521","111","629","92","30",".275",".241",".303",".358",".297","85","12.2","1332","248","33","111","490","21","591","-0.20"
"1992","Giants","2280","6070","5456","105","574","112","64",".283",".244",".302",".355",".297","88","15.5","1330","220","36","105","435","39","562","-7.44"
"2016","Padres","2355","6000","5419","177","686","125","45",".291",".235",".299",".390",".297","84","11.1","1275","257","26","177","449","58","600","-7.58"
"1918","Robins","1260","4578","4212","10","360","113","",".269",".250",".291",".315",".297","82","5.8","1052","121","62","10","212","36","386",""
"2002","Tigers","2096","5920","5406","124","575","65","44",".283",".248",".300",".379",".297","82","-1.0","1340","265","37","124","363","64","571","-14.13"
"1969","Royals","2082","6122","5462","98","586","129","70",".269",".240",".309",".338",".297","82","7.2","1311","179","32","98","522","43","579",""
"1974","Mets","2041","6226","5468","96","572","43","23",".254",".235",".311",".329",".297","85","6.1","1286","183","22","96","597","29","572","-7.28"
"1983","Mariners","1789","5907","5336","111","558","144","79",".264",".240",".301",".360",".297","80","-0.2","1280","247","31","111","460","24","568","-14.58"
"1902","Cardinals","1336","5183","4751","10","517","158","","",".258",".306",".304",".297","91","10.3","1226","116","37","10","273","52","516",""
"1987","Dodgers","2284","6114","5517","125","635","128","59",".280",".252",".309",".371",".297","83","7.5","1389","236","23","125","445","31","603","-3.10"
"1970","Phillies","2137","6099","5456","101","594","72","64",".277",".238",".305",".356",".297","77","-1.4","1299","224","58","101","519","25","584",""
"2012","Cubs","2341","5967","5411","137","613","94","45",".286",".240",".302",".378",".297","81","11.3","1297","265","36","137","447","43","591","-11.02"
"1888","Bridegrooms","1295","5280","4871","25","758","334","","",".242",".300",".321",".297","99","21.7","1177","172","70","25","353","56","717",""
"1963","Dodgers","2014","6045","5428","110","640","124","70",".278",".251",".309",".357",".297","98","22.5","1361","178","34","110","453","26","599",""
"1975","Padres","2155","6154","5429","78","552","85","50",".268",".244",".310",".335",".297","84","8.1","1324","215","22","78","506","37","559","-8.43"
"1982","Reds","2169","6100","5479","82","545","131","69",".280",".251",".310",".350",".297","82","6.0","1375","228","34","82","470","21","580","-13.16"
"2013","Mets","2378","6207","5559","130","619","114","35",".291",".237",".306",".366",".297","90","16.5","1318","263","32","130","512","51","594","-2.64"
"1991","Astros","2277","6147","5504","79","605","125","68",".285",".244",".309",".347",".297","88","15.5","1345","240","43","79","502","35","589","-7.22"
"1885","Red Stockings","1014","4252","4050","26","642","","","",".258",".294",".342",".297","99","15.3","1046","108","77","26","153","49","622",""
"1968","Giants","1983","6132","5441","108","599","50","37",".267",".239",".307",".341",".297","98","23.6","1301","162","33","108","508","47","583",""
"1910","Superbas","1616","5782","5125","25","497","151","",".261",".229",".294",".305",".297","79","4.4","1174","166","73","25","434","40","512",""
"1977","Athletics","2009","6021","5358","117","605","176","89",".267",".240",".308",".352",".297","84","5.6","1284","176","37","117","516","36","570","-7.61"
"1958","Orioles","2076","5720","5111","108","521","33","35",".261",".241",".308",".350",".297","85","9.9","1233","195","19","108","483","28","536",""
"1963","Angels","2115","6127","5506","95","597","43","30",".283",".250",".309",".354",".296","90","15.7","1378","208","38","95","448","43","606",""
"2017","Giants","2372","6137","5551","128","639","76","34",".294",".249",".309",".380",".296","83","10.5","1382","290","28","128","467","36","620","-12.18"
"2014","Braves","2252","6064","5468","123","573","95","33",".298",".241",".305",".360",".296","86","12.8","1316","240","22","123","472","43","583","-8.74"
"1903","White Sox","1312","5175","4670","14","516","180","","",".247",".301",".314",".296","91","14.2","1152","176","49","14","325","38","533",""
"1977","Mets","2141","6071","5410","88","587","98","81",".275",".244",".313",".346",".296","82","8.5","1319","227","30","88","529","30","571","-8.41"
"1902","Orphans","1317","5352","4802","6","529","222","","",".250",".307",".298",".296","92","18.1","1200","131","40","6","353","44","530",""
"2016","Phillies","2348","5992","5434","161","610","96","45",".292",".240",".301",".385",".296","81","9.4","1306","231","35","161","424","58","595","-8.49"
"1909","Naps","1550","5536","5048","10","493","174","","",".241",".288",".313",".296","89","15.9","1216","173","81","10","283","48","496",""
"1906","Tigers","1438","5474","4930","10","517","206","","",".242",".295",".306",".296","87","6.2","1195","154","64","10","333","33","502",""
"1972","Phillies","2051","5862","5248","98","503","42","50",".268",".236",".302",".344",".296","82","9.5","1240","200","36","98","487","22","539",""
"2015","Braves","2340","6034","5420","100","573","69","33",".297",".251",".314",".359",".296","84","9.9","1361","251","18","100","471","44","587","-7.98"
"2012","Astros","2421","6014","5407","146","583","105","46",".288",".236",".302",".371",".296","82","5.8","1276","238","28","146","463","58","588","-13.71"
"1959","Orioles","2093","5883","5208","109","551","36","24",".255",".238",".310",".345",".296","84","10.5","1240","182","23","109","536","20","565",""
"1968","Twins","2142","5974","5373","105","562","98","54",".269",".237",".299",".350",".296","93","15.8","1274","207","41","105","445","49","563",""
"2011","Twins","2269","6020","5487","103","619","92","39",".288",".247",".306",".360",".296","82","4.3","1357","259","25","103","440","37","579","-9.11"
"2003","Tigers","2278","6071","5466","153","591","98","63",".272",".240",".300",".375",".296","80","-1.2","1312","201","39","153","443","47","580","-23.43"
"1968","Athletics","2080","6026","5406","94","569","147","61",".279",".240",".304",".343",".296","99","23.8","1300","192","40","94","472","35","568",""
"1886","Athletics","1259","5275","4856","21","772","284","","",".235",".296",".321",".296","91","9.8","1142","192","82","21","378","41","742",""
"1983","Padres","2122","6163","5527","93","653","179","67",".277",".250",".311",".351",".295","85","16.7","1384","207","34","93","482","20","580","-0.01"
"2018","Tigers","2323","6029","5494","135","630","70","30",".293",".241",".300",".380",".295","83","6.7","1326","284","35","135","428","52","609","-10.34"
"2011","Giants","2370","6091","5486","121","570","85","51",".281",".242",".303",".368",".295","88","18.1","1327","282","24","121","448","52","582","-4.76"
"1899","Spiders","1438","5690","5279","12","529","127","","",".253",".299",".305",".295","68","-14.5","1333","142","50","12","289","65","565",""
"1908","Doves","1599","5793","5131","17","537","134","","",".239",".303",".293",".295","87","13.6","1228","137","43","17","414","54","532",""
"1965","Senators","2239","6078","5374","136","591","30","19",".263",".228",".304",".350",".295","86","8.0","1227","179","33","136","570","34","595",""
"2010","Astros","2358","6005","5452","108","611","100","36",".285",".247",".303",".362",".295","79","5.4","1348","252","25","108","415","33","561","-4.49"
"1890","Alleghenys","1262","5213","4739","20","597","208","",".251",".230",".300",".294",".295","87","-2.6","1088","160","43","20","408","66","620",""
"1965","Yankees","2122","6081","5470","149","611","35","20",".258",".235",".299",".364",".295","89","12.2","1286","196","31","149","489","19","596",""
"1943","Braves","1659","5773","5196","39","465","56","0",".258",".233",".298",".309",".295","75","6.2","1213","202","36","39","464","14","474",""
"1887","Nationals","1146","4624","4314","47","601","334","",".253",".241",".292",".337",".295","82","3.0","1039","149","63","47","269","41","614",""
"2014","Phillies","2282","6198","5603","125","619","109","26",".292",".242",".302",".363",".295","86","11.6","1356","251","27","125","443","55","592","-5.88"
"1979","Astros","2050","6029","5394","49","583","190","95",".287",".256",".315",".344",".295","86","18.0","1382","224","52","49","461","22","561","3.99"
"1989","Astros","2210","6200","5516","97","647","144","62",".265",".239",".306",".345",".295","90","19.7","1316","239","28","97","530","27","586","1.30"
"2019","Giants","2493","6170","5579","167","678","47","28",".290",".239",".302",".392",".295","83","10.0","1332","300","26","167","475","50","641","-9.42"
"1872","Forest Citys","198","960","943","0","174","12","3",".292",".288",".301",".329",".295","98","1.4","272","28","5","0","17","","202",""
"1979","Padres","2183","6169","5446","93","603","100","58",".264",".242",".311",".348",".295","85","15.0","1316","193","53","93","534","32","571","-2.05"
"1967","Indians","2061","6037","5461","131","559","53","65",".263",".235",".293",".359",".295","93","13.6","1282","213","35","131","413","50","584",""
"1971","Phillies","2061","6171","5538","123","558","63","39",".263",".233",".298",".350",".295","81","11.4","1289","209","35","123","499","34","563",""
"1904","Cubs","1467","5695","5210","22","597","227","","",".248",".295",".315",".295","91","21.0","1294","157","62","22","298","48","558",""
"1988","Astros","2150","6127","5494","96","617","198","71",".270",".244",".306",".351",".295","91","15.4","1338","239","31","96","474","38","584","0.46"
"1873","Whites","481","2387","2325","8","526","44","14",".280",".277",".296",".341",".295","91","7.2","645","83","20","8","62","","474",""
"1906","Senators","1472","5455","4956","26","518","233","","",".238",".289",".309",".295","90","11.5","1180","144","65","26","306","49","498",""
"1984","Dodgers","2219","6042","5399","102","580","109","69",".269",".244",".306",".348",".295","87","11.7","1316","213","23","102","488","14","564","-4.50"
"1884","Gothams","1057","4373","4124","23","693","","",".285",".255",".298",".341",".294","102","14.9","1053","149","67","23","249","","690",""
"1888","Giants","1237","5046","4747","55","659","314","",".258",".242",".287",".336",".294","102","24.3","1149","130","76","55","270","29","675",""
"1883","Athletics","891","3912","3713","20","720","","","",".262",".300",".346",".294","102","11.4","974","149","50","20","199","","615",""
"1988","Dodgers","2228","6045","5431","99","628","131","46",".281",".248",".305",".352",".294","92","20.0","1346","217","25","99","437","32","573","1.00"
"1884","Red Stockings","1011","4296","4090","36","754","","","",".254",".289",".354",".294","104","19.3","1037","109","96","36","154","52","678",""
"2014","Reds","2213","5978","5395","131","595","122","52",".284",".238",".296",".365",".294","83","14.7","1282","254","20","131","415","52","565","-10.06"
"1960","Phillies","2007","5748","5169","99","546","45","48",".281",".239",".302",".351",".294","79","3.7","1235","196","44","99","448","33","536",""
"1985","Pirates","2103","6099","5436","80","568","110","60",".276",".247",".311",".347",".294","82","8.2","1340","251","28","80","514","14","578","-14.48"
"1982","Mets","2207","6108","5510","97","609","137","57",".283",".247",".305",".350",".294","84","7.0","1361","227","26","97","456","25","569","-6.14"
"1874","Athletics","499","2282","2258","6","441","36","14",".291",".287",".294",".347",".294","97","10.5","647","83","18","6","24","","433",""
"2003","Dodgers","2292","6036","5458","124","574","80","36",".275",".243",".303",".368",".294","78","10.2","1328","260","25","124","407","72","563","-14.33"
"1967","Angels","2134","5902","5307","114","567","40","36",".274",".238",".301",".349",".294","95","21.2","1265","170","37","114","453","31","567",""
"1972","Orioles","1862","5676","5028","100","519","78","41",".261",".229",".302",".339",".294","93","24.8","1153","193","29","100","507","36","515",""
"1940","Phillies","1768","5673","5137","75","494","25","",".254",".238",".300",".331",".294","73","2.8","1225","180","35","75","435","14","500",""
"1971","Indians","2188","6061","5467","109","543","57","37",".264",".238",".300",".342",".294","78","5.2","1303","200","20","109","467","31","547",""
"1873","Mutuals","480","2256","2214","5","424","15","6",".282",".281",".294",".343",".294","95","4.6","622","51","36","5","42","","446",""
"1981","Cubs","1509","3984","3546","57","370","72","41",".269",".236",".303",".340",".294","77","-2.2","838","138","29","57","342","13","357","-7.66"
"1877","White Stockings","540","2330","2273","0","366","","",".293",".278",".296",".340",".294","96","5.7","633","79","30","0","57","","348",""
"2018","Padres","2380","6059","5486","162","617","95","36",".294",".235",".297",".380",".294","84","8.0","1289","250","30","162","471","31","601","-9.77"
"1883","Red Stockings","889","3808","3669","34","662","","","",".262",".289",".363",".294","106","22.1","961","122","74","34","139","","597",""
"1980","Giants","2088","6047","5368","80","573","100","58",".273",".244",".308",".342",".294","86","8.8","1310","199","44","80","509","14","549","-2.46"
"1884","Buckeyes","994","4014","3759","40","585","","","",".240",".288",".351",".293","111","23.7","901","107","96","40","196","59","631",""
"1972","Mets","1876","5883","5135","105","528","41","41",".257",".225",".307",".332",".293","84","7.3","1154","175","31","105","589","34","530",""
"1917","Pirates","1689","5788","5169","9","464","150","",".267",".238",".298",".298",".293","82","6.9","1230","160","61","9","399","46","490",""
"1973","Padres","2063","5985","5457","112","548","88","36",".276",".244",".296",".351",".293","82","5.6","1330","198","26","112","401","21","540",""
"1968","Pirates","2032","6163","5569","80","583","130","59",".289",".252",".306",".343",".293","95","30.3","1404","180","44","80","422","33","572",""
"1963","Cubs","1931","5987","5404","127","570","68","60",".271",".238",".297",".363",".293","84","15.5","1286","205","44","127","439","36","576",""
"1906","White Sox","1501","5654","4925","7","567","214","","",".230",".301",".286",".293","92","21.4","1133","152","52","7","453","50","511",""
"1902","Phillies","1309","5126","4616","5","484","108","","",".247",".305",".292",".293","87","5.2","1139","110","43","5","356","32","496",""
"1966","Cardinals","2062","5963","5480","108","571","144","61",".286",".251",".298",".368",".293","85","19.9","1377","196","61","108","345","35","585",""
"1989","Braves","2165","6079","5463","128","584","83","54",".263",".234",".298",".350",".293","78","8.8","1281","201","22","128","485","24","565","-10.16"
"1971","Astros","2034","6105","5492","71","585","101","51",".273",".240",".302",".340",".293","84","13.3","1319","230","52","71","478","29","548",""
"1884","Beaneaters","1051","4396","4189","36","684","","",".294",".254",".289",".351",".293","102","20.0","1063","179","60","36","207","","689",""
"1903","Cardinals","1329","5096","4689","8","505","171","","",".251",".297",".313",".293","78","2.7","1176","138","65","8","277","34","512",""
"1888","Colonels","1270","5272","4881","14","689","318","","",".241",".297",".315",".293","95","8.1","1177","183","67","14","322","69","699",""
"1907","White Sox","1555","5720","5070","5","584","175","","",".238",".302",".283",".293","94","22.3","1205","149","33","5","421","48","511",""
"1885","Metropolitans","977","3983","3731","21","526","","","",".247",".295",".327",".293","106","15.4","921","123","57","21","217","35","571",""
"1901","Beaneaters","1310","5218","4746","28","533","158","","",".249",".298",".310",".293","75","6.1","1180","135","36","28","303","34","541",""
"1974","Padres","2274","6120","5415","99","541","85","45",".256",".229",".302",".330",".293","83","0.8","1239","196","27","99","564","20","542","-7.14"
"1955","Orioles","2082","5935","5257","54","540","34","46",".269",".240",".314",".320",".293","78","0.6","1263","177","39","54","562","19","528",""
"1871","Forest Citys","225","1074","1036","3","231","53","10",".270",".264",".291",".364",".292","93","1.7","274","44","25","3","38","","232",""
"1914","Pirates","1774","5753","5145","18","503","147","",".261",".233",".295",".303",".292","80","12.0","1197","148","79","18","416","36","487",""
"1886","Quakers","1082","4354","4072","26","621","226","",".269",".240",".289",".327",".292","93","17.6","976","145","66","26","282","","602",""
"1968","Cardinals","1921","6080","5561","73","583","110","45",".283",".249",".298",".346",".292","94","23.6","1383","227","48","73","378","32","559",""
"1968","Braves","1966","6118","5552","80","514","83","44",".279",".252",".307",".339",".292","92","22.3","1399","179","31","80","414","36","562",""
"1882","Red Caps","767","3252","3118","15","472","","",".283",".264",".294",".347",".292","107","13.3","823","114","50","15","134","","499",""
"1979","Athletics","1684","5971","5348","108","573","104","69",".258",".239",".302",".346",".292","79","-9.7","1276","188","32","108","482","20","546","-11.29"
"1966","Angels","2208","6038","5360","122","604","80","54",".266",".232",".303",".354",".292","92","15.4","1244","179","54","122","525","38","585",""
"1885","Browns","1015","4255","3972","17","677","","","",".246",".297",".321",".292","95","17.2","979","132","57","17","234","49","607",""
"1976","Expos","2236","5996","5428","94","531","86","44",".261",".235",".291",".340",".292","75","3.3","1275","224","32","94","433","16","525","-12.81"
"1933","Reds","1708","5653","5156","34","496","30","",".259",".246",".298",".320",".292","78","6.0","1267","208","37","34","349","33","489",""
"1989","Dodgers","2109","6124","5465","89","554","81","54",".270",".240",".306",".339",".292","87","14.0","1313","241","17","89","507","27","562","-7.63"
"1971","Brewers","2083","5904","5185","104","534","82","53",".258",".229",".304",".329",".291","81","12.6","1188","160","23","104","543","30","523",""
"1890","Gladiators","910","3834","3475","13","492","182","","",".221",".294",".293",".291","76","-1.7","769","116","47","13","328","31","444",""
"1988","Cardinals","2143","6177","5518","71","578","234","64",".279",".249",".309",".337",".291","84","14.2","1373","207","33","71","484","22","574","-6.12"
"1874","Whites","525","2463","2435","2","476","27","18",".281",".278",".286",".354",".291","100","5.1","677","78","50","2","28","","461",""
"1878","Reds","550","2339","2281","5","333","","",".292",".276",".294",".331",".291","109","12.4","629","67","22","5","58","","340",""
"1976","Angels","1927","6104","5385","63","550","126","80",".264",".235",".306",".318",".291","88","9.2","1265","210","23","63","534","42","537","-3.73"
"1965","Dodgers","2014","6107","5425","78","608","172","77",".279",".245",".312",".335",".291","91","25.6","1329","193","32","78","492","52","584",""
"2012","Mariners","2236","6057","5494","149","619","104","35",".276",".234",".296",".369",".291","87","8.9","1285","241","27","149","466","30","575","-8.67"
"1966","Indians","2070","6040","5474","155","574","53","41",".258",".237",".297",".360",".291","87","10.9","1300","156","25","155","450","27","582",""
"1971","Senators","2152","5986","5290","86","537","68","45",".265",".230",".307",".326",".291","83","7.3","1219","189","30","86","575","28","530",""
"1992","Angels","1783","5917","5364","88","579","160","101",".275",".243",".301",".338",".291","77","1.8","1306","202","20","88","416","40","525","-10.70"
"1964","Senators","2142","6037","5396","125","578","47","30",".268",".231",".299",".348",".291","80","7.4","1246","199","28","125","514","28","567",""
"1964","Angels","2114","5975","5362","102","544","49","39",".273",".242",".304",".344",".290","85","14.8","1297","186","27","102","472","26","560",""
"1982","Astros","2036","6009","5440","74","569","140","61",".277",".247",".302",".349",".290","87","14.2","1342","236","48","74","435","19","541","-2.03"
"1908","Senators","1631","5648","5041","8","479","170","","",".235",".293",".296",".290","96","18.7","1186","132","74","8","368","43","501",""
"1885","Grays","1021","4223","3943","14","624","","","",".245",".295",".319",".290","96","12.7","966","121","65","14","238","42","597",""
"1903","Browns","1301","5047","4639","12","500","101","","",".244",".290",".317",".290","86","11.7","1133","166","68","12","271","26","496",""
"1985","Giants","2181","6063","5420","115","556","99","55",".263",".233",".299",".348",".290","84","7.9","1263","217","31","115","488","37","556","-7.48"
"1907","Superbas","1489","5460","4895","18","446","121","","",".232",".287",".298",".290","87","11.0","1135","142","63","18","336","40","477",""
"1872","Mansfields","216","1027","1022","1","220","5","3",".290",".288",".291",".337",".290","93","-0.1","294","29","9","1","5","","211",""
"1965","Astros","1972","6122","5483","97","569","90","37",".265",".237",".305",".340",".290","85","7.4","1299","188","42","97","502","46","578",""
"1885","Wolverines","975","3989","3773","25","514","","",".271",".243",".284",".337",".290","101","12.3","917","149","66","25","216","","563",""
"1972","Brewers","1982","5733","5124","88","493","64","57",".266",".235",".302",".328",".290","88","15.6","1204","167","22","88","472","29","503",""
"1906","Cardinals","1491","5613","5075","9","475","110","","",".235",".291",".295",".290","85","9.4","1195","137","69","9","361","38","495",""
"2011","Padres","2355","6074","5417","91","593","170","44",".294",".237",".305",".349",".290","86","15.0","1284","247","42","91","501","48","552","-10.47"
"1988","Braves","2119","6013","5440","96","555","95","69",".269",".242",".298",".348",".290","79","1.5","1319","228","28","96","432","21","550","-14.40"
"2018","Giants","2412","6113","5541","133","603","77","34",".299",".239",".300",".368",".290","83","7.0","1324","255","30","133","448","49","585","-8.58"
"1983","Mets","2247","6009","5444","112","575","141","64",".277",".241",".300",".344",".290","79","9.0","1314","172","26","112","436","31","539","-6.34"
"2019","Tigers","2316","6039","5549","149","582","57","20",".308",".240",".294",".388",".290","77","-2.6","1333","292","41","149","391","48","601","-22.14"
"1966","Senators","2137","5905","5318","126","557","53","37",".269",".234",".295",".355",".289","87","14.9","1245","185","40","126","450","20","561",""
"1872","Mutuals","504","2486","2431","4","523","59","21",".282",".277",".293",".327",".289","98","11.0","674","85","12","4","55","","510",""
"1904","Superbas","1464","5497","4916","15","497","205","","",".232",".297",".295",".289","88","12.6","1142","159","53","15","411","42","517",""
"1963","Senators","2091","6069","5446","138","578","68","28",".251",".227",".293",".351",".289","80","3.9","1237","190","35","138","497","30","567",""
"1972","Expos","2048","5817","5156","91","513","68","66",".261",".234",".303",".325",".289","78","9.6","1205","156","22","91","474","49","507",""
"2018","Marlins","2434","6083","5488","128","589","45","31",".293",".237",".303",".357",".289","83","9.9","1303","222","24","128","455","73","581","-8.47"
"1906","Americans","1500","5645","5168","13","463","99","","",".237",".284",".304",".289","84","5.3","1223","160","75","13","298","41","494",""
"1878","Grays","561","2348","2298","8","353","","",".288",".263",".279",".346",".289","106","10.8","604","107","30","8","50","","337",""
"1981","Twins","1187","4026","3676","47","378","34","27",".265",".240",".293",".338",".288","77","-1.3","884","147","36","47","275","11","348","-6.20"
"1943","Athletics","1692","5798","5244","26","497","55","42",".251",".232",".294",".297",".288","72","-1.6","1219","174","44","26","430","29","449",""
"2019","Marlins","2402","6045","5512","146","615","55","30",".300",".241",".298",".375",".288","79","2.6","1326","265","18","146","395","73","591","-15.08"
"1885","Bisons","1011","4079","3900","23","495","","",".274",".251",".284",".333",".288","96","4.2","980","149","50","23","179","","569",""
"1881","Grays","770","3223","3077","11","447","","",".270",".253",".287",".335",".288","99","10.5","780","144","37","11","146","","429",""
"1964","Mets","2126","6045","5566","103","569","36","31",".278",".246",".296",".348",".288","82","8.2","1372","195","31","103","353","48","557",""
"1908","Reds","1504","5511","4879","14","488","196","","",".227",".288",".294",".288","85","10.8","1108","129","77","14","372","46","481",""
"1964","Dodgers","2050","6120","5499","79","614","141","60",".284",".250",".305",".340",".288","89","19.3","1375","180","39","79","438","19","562",""
"1884","Eclipse","1000","4137","3957","17","573","","","",".254",".286",".340",".287","104","21.9","1004","152","69","17","146","34","631",""
"1966","Mets","2157","5951","5371","98","587","55","46",".276",".239",".301",".342",".287","81","5.9","1286","187","35","98","446","42","556",""
"1942","Phillies","1840","5557","5060","44","394","37","",".250",".232",".289",".306",".287","74","0.8","1174","168","37","44","392","16","444",""
"1885","Colonels","1017","4146","3969","19","564","","","",".248",".281",".336",".287","94","10.3","986","126","83","19","152","25","576",""
"1884","Orioles","976","4120","3845","32","636","","","",".233",".284",".336",".286","102","14.5","896","133","84","32","211","64","625",""
"1968","Phillies","1961","5966","5372","100","543","58","51",".267",".233",".294",".333",".286","89","12.7","1253","178","30","100","462","22","526",""
"1883","Gothams","888","3651","3524","24","530","","",".273",".255",".281",".354",".286","95","11.1","900","139","69","24","127","","550",""
"1971","Padres","2031","5935","5366","96","486","70","45",".267",".233",".293",".332",".286","81","6.1","1250","184","31","96","438","25","503",""
"1986","Cardinals","2118","6122","5378","58","601","262","78",".272",".236",".309",".327",".286","76","19.0","1270","216","48","58","568","20","532","-7.86"
"1965","Angels","2120","5956","5354","92","527","107","59",".274",".239",".297",".341",".286","86","15.2","1279","200","36","92","443","22","543",""
"1876","Athletics","544","2414","2387","7","378","","",".273",".271",".279",".342",".286","97","1.0","646","79","35","7","27","","377",""
"1968","Senators","2121","5971","5400","124","524","29","19",".249",".224",".287",".336",".286","91","6.4","1208","160","37","124","454","39","523",""
"1967","Dodgers","2100","6110","5456","82","519","56","47",".266",".236",".301",".332",".285","89","13.2","1285","203","38","82","485","43","552",""
"1874","Dark Blues","481","2173","2143","2","371","27","17",".282",".276",".286",".335",".285","94","1.4","591","85","18","2","30","","395",""
"1892","Colonels","1399","5813","5334","18","649","275","",".248",".226",".290",".284",".285","82","7.9","1208","133","61","18","433","46","635",""
"2010","Mariners","2104","5989","5409","101","513","142","39",".282",".236",".298",".339",".285","79","2.2","1274","227","16","101","459","39","513","-16.17"
"1904","Beaneaters","1461","5594","5135","24","491","143","","",".237",".287",".300",".285","84","3.0","1217","153","50","24","316","42","510",""
"1909","Superbas","1510","5579","5056","16","442","141","","",".229",".279",".297",".285","82","5.3","1158","176","59","16","330","20","461",""
"1972","Angels","1885","5639","5165","78","454","57","37",".275",".242",".293",".330",".284","90","15.1","1249","171","26","78","358","25","475",""
"1972","Indians","1981","5769","5207","91","472","49","53",".257",".234",".293",".330",".284","79","11.2","1220","187","18","91","420","26","483",""
"1904","Browns","1473","5817","5291","10","481","150","","",".239",".291",".294",".284","90","12.2","1266","153","53","10","332","56","529",""
"1882","Eclipse","713","2934","2806","9","443","","","",".259",".292",".328",".284","110","14.0","728","110","28","9","128","","432",""
"1908","White Sox","1626","5788","5027","3","535","209","","",".224",".298",".271",".284","93","23.4","1127","145","41","3","463","62","492",""
"1888","Blues","1221","4997","4603","12","651","353","","",".234",".294",".295",".284","93","8.5","1076","128","59","12","315","79","631",""
"1884","Browns","1003","4163","3952","11","658","","","",".250",".288",".327",".284","98","17.3","987","151","60","11","172","39","623",""
"1967","Athletics","2127","5938","5349","69","533","132","59",".273",".233",".296",".330",".284","83","9.9","1244","212","50","69","452","42","529",""
"1909","White Sox","1591","5759","5018","4","494","211","","",".221",".291",".275",".284","86","16.5","1109","145","56","4","441","57","473",""
"1981","Blue Jays","1179","3887","3521","61","329","66","56",".252",".226",".286",".330",".284","72","-1.9","797","137","23","61","284","20","322","-12.64"
"1907","Americans","1578","5721","5235","18","466","125","","",".234",".281",".292",".284","81","12.3","1224","154","48","18","305","35","477",""
"1905","Browns","1491","5771","5207","16","511","131","","",".232",".288",".289",".284","89","11.1","1207","153","49","16","362","52","516",""
"1907","Cardinals","1464","5514","5008","18","419","125","","",".232",".283",".288",".283","81","5.2","1163","121","52","18","312","42","460",""
"2011","Mariners","2090","5972","5421","109","556","125","40",".283",".233",".292",".348",".283","80","3.9","1263","253","22","109","435","37","517","-11.17"
"1884","Grays","1035","4393","4093","21","665","","",".268",".241",".293",".315",".283","99","22.1","987","153","43","21","300","","656",""
"1968","Indians","2156","5988","5416","75","516","115","61",".263",".234",".293",".327",".283","85","15.0","1266","210","36","75","427","39","513",""
"1882","Red Stockings","722","3109","3007","5","489","","","",".264",".289",".332",".283","107","16.6","795","95","47","5","102","","456",""
"2014","Padres","2362","5905","5294","109","535","91","34",".277",".226",".292",".342",".283","81","11.7","1199","224","30","109","468","41","510","-9.42"
"1908","Athletics","1580","5656","5065","21","487","116","","",".223",".281",".292",".283","85","7.8","1131","183","50","21","368","37","477",""
"1881","Blues","770","3249","3117","7","392","","",".273",".255",".286",".326",".283","96","10.7","796","120","39","7","132","","420",""
"1969","Angels","2128","5980","5316","88","528","54","39",".261",".230",".300",".319",".283","77","6.8","1221","151","29","88","516","32","504",""
"1908","Highlanders","1565","5533","5047","13","458","231","","",".236",".283",".291",".283","80","4.1","1190","142","50","13","288","45","466",""
"1888","Hoosiers","1228","4902","4623","34","603","350","",".260",".238",".281",".313",".283","88","9.0","1100","180","33","34","236","43","614",""
"2020","Rangers","865","2147","1936","62","224","49","14",".266",".217",".285",".364",".283","67","-2.4","420","80","9","62","167","24","202","-6.14"
"1876","Red Caps","630","2780","2722","9","471","","",".273",".266",".281",".328",".283","102","9.7","723","96","24","9","58","","428",""
"1877","Reds","525","2213","2135","6","291","","",".267",".255",".282",".329",".282","99","1.6","545","72","34","6","78","","311",""
"1888","Orioles","1252","5012","4656","19","653","326","","",".229",".284",".306",".282","93","14.4","1068","162","70","19","298","58","626",""
"1886","Maroons","1144","4485","4250","30","547","156","",".272",".236",".276",".321",".282","88","9.0","1001","183","46","30","235","","584",""
"1971","Angels","2062","6079","5495","96","511","72","34",".255",".231",".290",".329",".282","79","10.3","1271","213","18","96","441","29","499",""
