"Season","Team","IP","BABIP","ERA","FIP","WAR","TBF","R","ER","H","HR","BB","HBP","SO","WPA","AVG","FIP-","RA9-WAR"
"1968","Indians","1464.1",".240","2.66","2.89","21.0","5966","504","432","1087","98","540","53","1157","",".202","90","22.8"
"1915","Robins","1389.2",".263","2.66","2.98","9.4","","560","410","1252","29","473","67","499","",".242","110","15.2"
"1917","Yankees","1411.1",".278","2.66","2.69","15.7","5568","558","417","1280","28","427","36","571","",".251","96","15.1"
"1968","Orioles","1451.1",".242","2.66","2.98","16.2","5864","497","429","1111","101","502","46","1044","",".209","96","20.0"
"1877","Brown Stockings","541.0",".294","2.66","2.91","2.6","","318","160","582","2","92","","132","",".276","113","4.6"
"1981","Astros","990.0",".261","2.66","2.84","15.6","4034","331","293","842","40","300","11","610","5.29",".226","88","18.4"
"1916","Senators","1430.2",".278","2.67","2.56","18.1","5765","543","424","1271","14","490","37","706","",".243","92","17.5"
"1888","Alleghenys","1203.1",".278","2.67","2.85","6.6","","580","357","1190","23","223","30","367","",".260","105","9.1"
"1884","Browns","987.0",".273","2.67","3.04","11.1","","539","293","881","16","172","42","477","",".240","97","13.4"
"1902","Reds","1239.0",".284","2.67","2.98","14.6","","566","368","1228","15","352","55","430","",".260","98","16.4"
"1944","Cardinals","1427.0",".252","2.67","3.18","22.5","5838","490","424","1228","55","468","22","637","",".230","87","36.0"
"1881","Blues","760.0",".277","2.68","2.71","6.3","","414","226","737","9","126","","240","",".256","101","7.5"
"1885","Colonels","1002.0",".279","2.68","2.78","12.0","","598","298","927","13","217","40","462","",".247","95","11.6"
"1910","Giants","1391.2",".282","2.68","2.43","21.3","","569","414","1290","30","397","38","717","",".247","85","20.0"
"1884","Buckeyes","962.1",".266","2.68","3.01","7.5","","459","287","815","22","172","27","526","",".231","102","17.1"
"1966","White Sox","1475.1",".248","2.68","3.12","17.8","5982","517","440","1229","101","403","36","896","",".222","93","24.4"
"1906","Reds","1369.2",".272","2.69","2.70","16.0","","582","409","1248","14","470","49","567","",".244","97","13.8"
"1968","Dodgers","1448.2",".277","2.69","2.53","15.2","5951","509","433","1293","65","414","37","994","",".235","98","14.0"
"1911","Giants","1368.0",".286","2.69","2.76","23.0","","542","409","1267","33","369","29","771","",".247","81","25.7"
