Season,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
2007,"CLE",1462.2,6206,4.05492252,1519,306,22,704,659,146,410,42,56,1047,0.26823239,0.32150956,0.40738125,0.3179448354850776
2007,"DET",1447.1,6345,4.5829111,1498,288,46,797,737,174,566,41,68,1047,0.26635846,0.3380371,0.42674253,0.33388838236643187
2007,"KCR",1437.1,6253,4.5020872,1547,380,30,778,719,168,520,54,41,993,0.27664521,0.33934321,0.4454578,0.3393110782440392
2007,"MIN",1436.2,6133,4.17842227,1505,297,27,725,667,185,420,33,51,1094,0.26932713,0.32398754,0.43146027,0.32807755957646534
2007,"NYY",1450.2,6308,4.49793199,1498,327,27,777,725,150,578,33,60,1009,0.26817043,0.34039841,0.4169352,0.33242447350087057
2007,"OAK",1448,6247,4.30110497,1468,282,45,758,692,138,530,60,43,1036,0.26336563,0.3288223,0.40437747,0.31967979861562457
2007,"SEA",1434.1,6313,4.76876598,1578,331,34,813,760,147,546,39,62,1020,0.28148412,0.34897829,0.43132358,0.34120470476916515
2007,"TBD",1429.2,6403,5.53345768,1649,334,38,944,879,199,568,31,63,1194,0.2901126,0.35837787,0.46727657,0.35868933081834015
2007,"TEX",1430,6389,4.75804196,1525,314,25,844,756,155,668,38,70,976,0.27428058,0.35643408,0.42338129,0.343299105624128
2007,"TOR",1448.2,6108,4.00092039,1383,252,24,699,644,157,479,34,55,1067,0.25090711,0.31477833,0.39078374,0.30977604306909495
2007,"ARI",1441,6216,4.13462873,1446,293,34,732,662,169,546,38,61,1088,0.26228913,0.33354996,0.41973517,0.3296380003371308
2007,"ATL",1456.1,6263,4.10963607,1442,272,39,733,665,172,537,89,42,1106,0.25949253,0.32675829,0.41533201,0.32074432481774506
2007,"CHC",1446.2,6186,4.0437788,1340,280,29,690,650,165,573,46,59,1211,0.24578136,0.32238025,0.39856933,0.31642202116712237
2007,"CIN",1449.2,6354,4.95424235,1605,345,26,853,798,198,482,47,73,1068,0.2821234,0.34323852,0.45631921,0.3459786321351134
2007,"COL",1472,6293,4.31657609,1497,298,45,758,706,164,504,61,59,967,0.26637011,0.33049896,0.42295374,0.32697974729677026
