"Season","Team","G","AB","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","OPS","wOBA","wRC+","EV","BsR","Off","Def","WAR","H","1B","2B","3B","HR","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA"
"1877","White Stockings","540","2273","2330","0","366","248","","2.4%","4.8%",".061",".293",".278",".296",".340",".636",".294","96","","0.0","-15.3","-3.9","5.7","633","524","79","30","0","57","","111","","","","","","",".294"
"2018","Padres","2380","5486","6059","162","617","583","95","7.8%","25.1%",".145",".294",".235",".297",".380",".677",".294","84","88.5","-5.7","-123.2","10.0","8.0","1289","847","250","30","162","471","28","1523","31","36","35","122","95","36",".294"
"1883","Red Stockings","889","3669","3808","34","662","484","","3.7%","",".101","",".262",".289",".363",".652",".294","106","","0.0","31.9","61.8","22.1","961","731","122","74","34","139","","","","","","","","",".294"
"1980","Giants","2088","5368","6047","80","573","539","100","8.4%","13.9%",".098",".273",".244",".308",".342",".651",".294","86","","-3.7","-100.9","-5.0","8.8","1310","987","199","44","80","509","61","840","14","54","100","122","100","58",".294"
"1884","Buckeyes","994","3759","4014","40","585","38","","4.9%","",".111","",".240",".288",".351",".639",".293","111","","0.0","63.8","55.4","23.7","901","658","107","96","40","196","","","59","","","","","",".293"
"1972","Mets","1876","5135","5883","105","528","490","41","10.0%","16.8%",".107",".257",".225",".307",".332",".639",".293","84","","-5.1","-109.5","-24.9","7.3","1154","843","175","31","105","589","70","990","34","39","86","127","41","41",".293"
"1917","Pirates","1689","5169","5788","9","464","396","150","6.9%","10.0%",".060",".267",".238",".298",".298",".596",".293","82","","0.3","-106.7","-15.4","6.9","1230","1000","160","61","9","399","","580","46","","174","","150","",".293"
"1973","Padres","2063","5457","5985","112","548","516","88","6.7%","16.1%",".107",".276",".244",".296",".351",".647",".293","82","","6.0","-115.2","-20.1","5.6","1330","994","198","26","112","401","46","966","21","33","73","115","88","36",".293"
"1968","Pirates","2032","5569","6163","80","583","538","130","6.8%","15.5%",".091",".289",".252",".306",".343",".650",".293","95","","6.8","-21.9","84.2","30.3","1404","1100","180","44","80","422","93","953","33","43","96","133","130","59",".293"
"1963","Cubs","1931","5404","5987","127","570","530","68","7.3%","17.5%",".125",".271",".238",".297",".363",".660",".293","84","","-6.9","-109.0","50.9","15.5","1286","910","205","44","127","439","57","1049","36","44","64","112","68","60",".293"
"1906","White Sox","1501","4925","5654","7","567","444","214","8.0%","",".056","",".230",".301",".286",".588",".293","92","","5.3","-43.6","54.4","21.4","1133","922","152","52","7","453","","","50","","226","","214","",".293"
"1902","Phillies","1309","4616","5126","5","484","389","108","6.9%","",".046","",".247",".305",".292",".598",".293","87","","-11.3","-88.2","-39.2","5.2","1139","981","110","43","5","356","","","32","","122","","108","",".293"
"1966","Cardinals","2062","5480","5963","108","571","533","144","5.8%","16.4%",".117",".286",".251",".298",".368",".666",".293","85","","8.6","-99.4","86.5","19.9","1377","1012","196","61","108","345","51","977","35","44","59","114","144","61",".293"
"1989","Braves","2165","5463","6079","128","584","544","83","8.0%","16.4%",".115",".263",".234",".298",".350",".647",".293","78","","-6.6","-150.7","46.6","8.8","1281","930","201","22","128","485","51","996","24","42","65","94","83","54",".293"
"1971","Astros","2034","5492","6105","71","585","547","101","7.8%","14.5%",".100",".273",".240",".302",".340",".642",".293","84","","2.6","-106.1","30.8","13.3","1319","966","230","52","71","478","44","888","29","41","65","105","101","51",".293"
"1884","Beaneaters","1051","4189","4396","36","684","467","","4.7%","15.0%",".097",".294",".254",".289",".351",".640",".293","102","","0.0","13.8","44.7","20.0","1063","788","179","60","36","207","","660","","","","","","",".293"
"1903","Cardinals","1329","4689","5096","8","505","404","171","5.4%","",".062","",".251",".297",".313",".610",".293","78","","1.5","-146.3","-16.6","2.7","1176","965","138","65","8","277","","","34","","96","","171","",".293"
"1888","Colonels","1270","4881","5272","14","689","543","318","6.1%","",".074","",".241",".297",".315",".612",".293","95","","-6.7","-43.6","-78.1","8.1","1177","913","183","67","14","322","","","69","","","","318","",".293"
"1907","White Sox","1555","5070","5720","5","584","474","175","7.4%","",".045","",".238",".302",".283",".585",".293","94","","-1.1","-34.0","54.3","22.3","1205","1018","149","33","5","421","","","48","","181","","175","",".293"
"1885","Metropolitans","977","3731","3983","21","526","362","","5.4%","",".080","",".247",".295",".327",".622",".293","106","","0.0","34.5","-17.1","15.4","921","720","123","57","21","217","","","35","","","","","",".293"
"1901","Beaneaters","1310","4746","5218","28","533","449","158","5.8%","",".061","",".249",".298",".310",".608",".293","75","","-1.6","-176.0","44.7","6.1","1180","981","135","36","28","303","","","34","","135","","158","",".293"
"1974","Padres","2274","5415","6120","99","541","506","85","9.2%","14.7%",".101",".256",".229",".302",".330",".632",".293","83","","1.0","-120.0","-70.6","0.8","1239","917","196","27","99","564","52","900","20","35","83","106","85","45",".293"
"1955","Orioles","2082","5257","5935","54","540","503","34","9.5%","12.5%",".079",".269",".240",".314",".320",".634",".293","78","","-6.9","-167.0","-35.9","0.6","1263","993","177","39","54","562","31","740","19","27","70","127","34","46",".293"
"1871","Forest Citys","225","1036","1074","3","231","147","53","3.5%","2.8%",".099",".270",".264",".291",".364",".654",".292","93","","3.5","-14.0","-6.9","1.7","274","202","44","25","3","38","","30","","","","","53","10",".292"
"1914","Pirates","1774","5145","5753","18","503","437","147","7.2%","10.6%",".070",".261",".233",".295",".303",".597",".292","80","","13.3","-109.7","62.0","12.0","1197","952","148","79","18","416","","608","36","","156","","147","",".292"
"1886","Quakers","1082","4072","4354","26","621","424","226","6.5%","11.9%",".087",".269",".240",".289",".327",".616",".292","93","","11.4","-36.5","50.7","17.6","976","739","145","66","26","282","","516","","","","","226","",".292"
"1968","Cardinals","1921","5561","6080","73","583","539","110","6.2%","14.8%",".097",".283",".249",".298",".346",".644",".292","94","","7.4","-31.7","30.4","23.6","1383","1035","227","48","73","378","56","897","32","42","67","91","110","45",".292"
"1968","Braves","1966","5552","6118","80","514","480","83","6.8%","12.8%",".087",".279",".252",".307",".339",".645",".292","92","","2.3","-45.9","33.3","22.3","1399","1109","179","31","80","414","85","782","36","30","86","145","83","44",".292"
"1882","Red Caps","767","3118","3252","15","472","368","","4.1%","7.5%",".083",".283",".264",".294",".347",".641",".292","107","","0.0","34.7","0.3","13.3","823","644","114","50","15","134","","244","","","","","","",".292"
"1979","Athletics","1684","5348","5971","108","573","541","104","8.1%","12.6%",".108",".258",".239",".302",".346",".648",".292","79","","-5.4","-156.3","-137.5","-9.7","1276","948","188","32","108","482","36","751","20","46","75","131","104","69",".292"
"1966","Angels","2208","5360","6038","122","604","562","80","8.7%","17.6%",".122",".266",".232",".303",".354",".657",".292","92","","-1.4","-57.1","35.6","15.4","1244","889","179","54","122","525","52","1062","38","46","69","104","80","54",".292"
"1885","Browns","1015","3972","4255","17","677","450","","5.5%","",".075","",".246",".297",".321",".618",".292","95","","0.0","-33.8","52.5","17.2","979","773","132","57","17","234","","","49","","","","","",".292"
"1976","Expos","2236","5428","5996","94","531","507","86","7.2%","14.0%",".105",".261",".235",".291",".340",".631",".292","75","","-0.5","-169.2","7.5","3.3","1275","925","224","32","94","433","43","841","16","40","75","106","86","44",".292"
"1933","Reds","1708","5156","5653","34","496","455","30","6.2%","6.3%",".074",".259",".246",".298",".320",".618",".292","78","","5.0","-138.0","28.6","6.0","1267","988","208","37","34","349","","354","33","","115","161","30","",".292"
"1989","Dodgers","2109","5465","6124","89","554","513","81","8.3%","14.5%",".099",".270",".240",".306",".339",".645",".292","87","","-7.1","-93.8","36.1","14.0","1313","966","241","17","89","507","77","885","27","41","83","98","81","54",".292"
"1971","Brewers","2083","5185","5904","104","534","496","82","9.2%","15.7%",".100",".258",".229",".304",".329",".633",".291","81","","-1.9","-128.0","70.0","12.6","1188","901","160","23","104","543","40","924","30","39","107","103","82","53",".291"
"1890","Gladiators","910","3475","3834","13","492","328","182","8.6%","",".072","",".221",".294",".293",".587",".291","76","","-0.3","-138.1","-14.6","-1.7","769","593","116","47","13","328","","","31","","","","182","",".291"
"1988","Cardinals","2143","5518","6177","71","578","535","234","7.8%","13.4%",".088",".279",".249",".309",".337",".646",".291","84","","17.7","-88.4","30.3","14.2","1373","1062","207","33","71","484","61","827","22","48","105","110","234","64",".291"
"1874","Whites","525","2435","2463","2","476","321","27","1.1%","1.3%",".076",".281",".278",".286",".354",".640",".291","100","","-4.4","-3.3","-25.9","5.1","677","547","78","50","2","28","","33","","","","","27","18",".291"
"1878","Reds","550","2281","2339","5","333","228","","2.5%","6.0%",".055",".292",".276",".294",".331",".625",".291","109","","0.0","30.1","21.4","12.4","629","535","67","22","5","58","","141","","","","","","",".291"
"1976","Angels","1927","5385","6104","63","550","511","126","8.7%","13.3%",".083",".264",".235",".306",".318",".624",".291","88","","-6.0","-83.4","-18.2","9.2","1265","969","210","23","63","534","51","812","42","48","92","130","126","80",".291"
"1965","Dodgers","2014","5425","6107","78","608","548","172","8.1%","14.6%",".091",".279",".245",".312",".335",".647",".291","91","","5.9","-53.9","100.0","25.6","1329","1026","193","32","78","492","57","891","52","35","103","79","172","77",".291"
"2012","Mariners","2236","5494","6057","149","619","584","104","7.7%","20.8%",".135",".276",".234",".296",".369",".665",".291","87","","0.1","-89.5","-30.3","8.9","1285","868","241","27","149","466","21","1259","30","35","32","95","104","35",".291"
"1966","Indians","2070","5474","6040","155","574","536","53","7.5%","15.1%",".123",".258",".237",".297",".360",".657",".291","87","","-2.1","-86.6","23.5","10.9","1300","964","156","25","155","450","55","914","27","33","56","113","53","41",".291"
"1971","Senators","2152","5290","5986","86","537","501","68","9.6%","16.0%",".096",".265",".230",".307",".326",".634",".291","83","","-1.8","-113.7","-1.8","7.3","1219","914","189","30","86","575","58","956","28","35","58","127","68","45",".291"
"1992","Angels","1783","5364","5917","88","579","537","160","7.0%","14.9%",".094",".275",".243",".301",".338",".638",".291","77","","-8.0","-158.4","-8.9","1.8","1306","996","202","20","88","416","40","882","40","40","56","137","160","101",".291"
"1964","Senators","2142","5396","6037","125","578","528","47","8.5%","18.6%",".117",".268",".231",".299",".348",".647",".291","80","","-0.2","-139.6","48.3","7.4","1246","894","199","28","125","514","34","1124","28","33","66","119","47","30",".291"
"1964","Angels","2114","5362","5975","102","544","508","49","7.9%","15.4%",".102",".273",".242",".304",".344",".648",".290","85","","-3.1","-107.8","89.2","14.8","1297","982","186","27","102","472","40","920","26","37","78","145","49","39",".290"
"1982","Astros","2036","5440","6009","74","569","533","140","7.2%","13.8%",".102",".277",".247",".302",".349",".651",".290","87","","4.0","-86.4","21.2","14.2","1342","984","236","48","74","435","67","830","19","46","68","104","140","61",".290"
"1908","Senators","1631","5041","5648","8","479","378","170","6.5%","",".060","",".235",".293",".296",".588",".290","96","","-0.2","-24.2","6.5","18.7","1186","972","132","74","8","368","","","43","","196","","170","",".290"
"1885","Grays","1021","3943","4223","14","624","428","","5.6%","",".074","",".245",".295",".319",".614",".290","96","","0.0","-23.5","-0.5","12.7","966","766","121","65","14","238","","","42","","","","","",".290"
"1903","Browns","1301","4639","5047","12","500","408","101","5.4%","",".073","",".244",".290",".317",".607",".290","86","","-10.1","-91.1","36.5","11.7","1133","887","166","68","12","271","","","26","","111","","101","",".290"
"1985","Giants","2181","5420","6063","115","556","517","99","8.0%","15.9%",".115",".263",".233",".299",".348",".648",".290","84","","-3.8","-116.4","-6.3","7.9","1263","900","217","31","115","488","53","962","37","25","93","121","99","55",".290"
"1907","Superbas","1489","4895","5460","18","446","380","121","6.2%","",".066","",".232",".287",".298",".584",".290","87","","-7.1","-82.3","4.2","11.0","1135","912","142","63","18","336","","","40","","189","","121","",".290"
"1872","Mansfields","216","1022","1027","1","220","106","5","0.5%","1.2%",".049",".290",".288",".291",".337",".628",".290","93","","1.3","-13.5","-26.8","-0.1","294","255","29","9","1","5","","12","","","","","5","3",".290"
"1965","Astros","1972","5483","6122","97","569","523","90","8.2%","14.3%",".103",".265",".237",".305",".340",".644",".290","85","","4.4","-99.3","-31.7","7.4","1299","972","188","42","97","502","46","877","46","34","57","125","90","37",".290"
"1885","Wolverines","975","3773","3989","25","514","387","","5.4%","11.3%",".094",".271",".243",".284",".337",".621",".290","101","","0.0","6.6","-16.1","12.3","917","677","149","66","25","216","","451","","","","","","",".290"
"1972","Brewers","1982","5124","5733","88","493","461","64","8.2%","15.1%",".093",".266",".235",".302",".328",".629",".290","88","","-6.1","-74.9","58.9","15.6","1204","927","167","22","88","472","42","868","29","30","78","144","64","57",".290"
"1906","Cardinals","1491","5075","5613","9","475","362","110","6.4%","",".060","",".235",".291",".295",".586",".290","85","","-14.3","-103.9","8.7","9.4","1195","980","137","69","9","361","","","38","","139","","110","",".290"
"2011","Padres","2355","5417","6074","91","593","563","170","8.2%","21.7%",".112",".294",".237",".305",".349",".653",".290","86","","18.2","-77.0","34.3","15.0","1284","904","247","42","91","501","42","1320","48","47","55","105","170","44",".290"
"1988","Braves","2119","5440","6013","96","555","527","95","7.2%","14.1%",".105",".269",".242",".298",".348",".646",".290","79","","-11.6","-145.5","-29.6","1.5","1319","967","228","28","96","432","59","848","21","46","74","136","95","69",".290"
"2018","Giants","2412","5541","6113","133","603","573","77","7.3%","24.0%",".129",".299",".239",".300",".368",".667",".290","83","87.6","-2.9","-132.9","7.9","7.0","1324","906","255","30","133","448","40","1467","49","42","33","113","77","34",".290"
"1983","Mets","2247","5444","6009","112","575","542","141","7.3%","17.2%",".103",".277",".241",".300",".344",".644",".290","79","","2.0","-144.1","37.6","9.0","1314","1004","172","26","112","436","54","1031","31","32","66","113","141","64",".290"
"2019","Tigers","2316","5549","6039","149","582","556","57","6.5%","26.4%",".148",".308",".240",".294",".388",".682",".290","77","88.1","-6.8","-186.5","-53.8","-2.6","1333","851","292","41","149","391","14","1595","48","42","9","108","57","20",".290"
"1966","Senators","2137","5318","5905","126","557","525","53","7.6%","18.1%",".121",".269",".234",".295",".355",".650",".289","87","","-0.7","-85.6","66.4","14.9","1245","894","185","40","126","450","31","1069","20","33","84","130","53","37",".289"
"1872","Mutuals","504","2431","2486","4","523","312","59","2.2%","2.1%",".050",".282",".277",".293",".327",".620",".289","98","","1.9","-7.9","34.2","11.0","674","573","85","12","4","55","","52","","","","","59","21",".289"
"1904","Superbas","1464","4916","5497","15","497","390","205","7.5%","",".063","",".232",".297",".295",".592",".289","88","","7.0","-64.6","-10.0","12.6","1142","915","159","53","15","411","","","42","","128","","205","",".289"
"1963","Senators","2091","5446","6069","138","578","538","68","8.2%","15.9%",".124",".251",".227",".293",".351",".644",".289","80","","4.9","-132.2","7.5","3.9","1237","874","190","35","138","497","35","963","30","39","57","111","68","28",".289"
"1972","Expos","2048","5156","5817","91","513","462","68","8.1%","14.2%",".092",".261",".234",".303",".325",".628",".289","78","","-8.4","-151.1","49.5","9.6","1205","936","156","22","91","474","55","828","49","30","108","96","68","66",".289"
"2018","Marlins","2434","5488","6083","128","589","554","45","7.5%","22.8%",".119",".293",".237",".303",".357",".659",".289","83","87.5","-15.8","-144.8","49.3","9.9","1303","929","222","24","128","455","26","1384","73","31","32","119","45","31",".289"
"1906","Americans","1500","5168","5645","13","463","408","99","5.3%","",".068","",".237",".284",".304",".588",".289","84","","-14.8","-110.7","-28.3","5.3","1223","975","160","75","13","298","","","41","","138","","99","",".289"
"1878","Grays","561","2298","2348","8","353","251","","2.1%","9.3%",".083",".288",".263",".279",".346",".624",".289","106","","0.0","19.3","14.7","10.8","604","459","107","30","8","50","","218","","","","","","",".289"
"1981","Twins","1187","3676","4026","47","378","359","34","6.8%","12.3%",".098",".265",".240",".293",".338",".632",".288","77","","-3.1","-100.5","-33.3","-1.3","884","654","147","36","47","275","28","497","11","27","36","95","34","27",".288"
"1943","Athletics","1692","5244","5798","26","497","462","55","7.4%","8.0%",".065",".251",".232",".294",".297",".592",".288","72","","-6.5","-181.9","-16.0","-1.6","1219","975","174","44","26","430","","465","29","","95","132","55","42",".288"
"2019","Marlins","2402","5512","6045","146","615","593","55","6.5%","24.3%",".134",".300",".241",".298",".375",".673",".288","79","88.3","-23.9","-195.4","26.4","2.6","1326","897","265","18","146","395","16","1469","73","33","31","139","55","30",".288"
"1885","Bisons","1011","3900","4079","23","495","365","","4.4%","9.3%",".082",".274",".251",".284",".333",".617",".288","96","","0.0","-25.5","-69.9","4.2","980","758","149","50","23","179","","380","","","","","","",".288"
"1881","Grays","770","3077","3223","11","447","322","","4.5%","6.6%",".082",".270",".253",".287",".335",".622",".288","99","","0.0","-6.6","-5.9","10.5","780","588","144","37","11","146","","214","","","","","","",".288"
"1964","Mets","2126","5566","6045","103","569","527","36","5.8%","15.4%",".102",".278",".246",".296",".348",".644",".288","82","","-2.8","-124.0","-9.2","8.2","1372","1043","195","31","103","353","34","932","48","26","52","147","36","31",".288"
"1908","Reds","1504","4879","5511","14","488","398","196","6.8%","",".067","",".227",".288",".294",".582",".288","85","","6.9","-74.7","-3.0","10.8","1108","888","129","77","14","372","","","46","","214","","196","",".288"
"1964","Dodgers","2050","5499","6120","79","614","555","141","7.2%","14.6%",".090",".284",".250",".305",".340",".645",".288","89","","7.4","-71.8","40.8","19.3","1375","1077","180","39","79","438","55","893","19","44","120","105","141","60",".288"
"1884","Eclipse","1000","3957","4137","17","573","398","","3.5%","",".086","",".254",".286",".340",".626",".287","104","","0.0","26.1","66.7","21.9","1004","766","152","69","17","146","","","34","","","","","",".287"
"1966","Mets","2157","5371","5951","98","587","534","55","7.5%","16.7%",".103",".276",".239",".301",".342",".643",".287","81","","-3.5","-138.7","-8.7","5.9","1286","966","187","35","98","446","44","992","42","29","63","127","55","46",".287"
"1942","Phillies","1840","5060","5557","44","394","356","37","7.1%","8.8%",".074",".250",".232",".289",".306",".595",".287","74","","5.0","-151.6","2.3","0.8","1174","925","168","37","44","392","","487","16","","89","109","37","",".287"
"1885","Colonels","1017","3969","4146","19","564","416","","3.7%","",".088","",".248",".281",".336",".617",".287","94","","0.0","-34.5","-11.7","10.3","986","758","126","83","19","152","","","25","","","","","",".287"
"1884","Orioles","976","3845","4120","32","636","25","","5.1%","",".103","",".233",".284",".336",".621",".286","102","","0.0","10.9","7.2","14.5","896","647","133","84","32","211","","","64","","","","","",".286"
"1968","Phillies","1961","5372","5966","100","543","505","58","7.7%","16.8%",".100",".267",".233",".294",".333",".628",".286","89","","-5.0","-68.3","-28.9","12.7","1253","945","178","30","100","462","60","1003","22","46","64","106","58","51",".286"
"1883","Gothams","888","3524","3651","24","530","371","","3.5%","8.1%",".099",".273",".255",".281",".354",".636",".286","95","","0.0","-26.7","14.9","11.1","900","668","139","69","24","127","","297","","","","","","",".286"
"1971","Padres","2031","5366","5935","96","486","447","70","7.4%","16.3%",".100",".267",".233",".293",".332",".625",".286","81","","-1.4","-124.5","-14.0","6.1","1250","939","184","31","96","438","42","966","25","19","87","133","70","45",".286"
"1986","Cardinals","2118","5378","6122","58","601","550","262","9.3%","14.8%",".090",".272",".236",".309",".327",".636",".286","76","","20.6","-151.7","141.0","19.0","1270","948","216","48","58","568","69","905","20","46","108","83","262","78",".286"
"1965","Angels","2120","5354","5956","92","527","486","107","7.4%","16.3%",".102",".274",".239",".297",".341",".639",".286","86","","-0.4","-96.6","63.7","15.2","1279","951","200","36","92","443","48","973","22","44","93","99","107","59",".286"
"1876","Athletics","544","2387","2414","7","378","249","","1.1%","1.5%",".071",".273",".271",".279",".342",".621",".286","97","","0.0","-9.4","-59.9","1.0","646","525","79","35","7","27","","36","","","","","","",".286"
"1968","Senators","2121","5400","5971","124","524","489","29","7.6%","16.1%",".112",".249",".224",".287",".336",".623",".286","91","","-0.3","-52.4","-59.5","6.4","1208","887","160","37","124","454","50","960","39","32","46","125","29","19",".286"
"1967","Dodgers","2100","5456","6110","82","519","465","56","7.9%","14.4%",".096",".266",".236",".301",".332",".633",".285","89","","-2.5","-73.2","-17.1","13.2","1285","962","203","38","82","485","75","881","43","35","91","133","56","47",".285"
"1874","Dark Blues","481","2143","2173","2","371","243","27","1.4%","2.6%",".059",".282",".276",".286",".335",".621",".285","94","","-3.9","-26.0","-37.8","1.4","591","486","85","18","2","30","","56","","","","","27","17",".285"
"1892","Colonels","1399","5334","5813","18","649","509","275","7.4%","8.7%",".058",".248",".226",".290",".284",".575",".285","82","","5.1","-138.5","0.7","7.9","1208","996","133","61","18","433","","508","46","","","","275","",".285"
"2010","Mariners","2104","5409","5989","101","513","485","142","7.7%","19.8%",".104",".282",".236",".298",".339",".637",".285","79","","-1.0","-149.1","-40.5","2.2","1274","930","227","16","101","459","33","1184","39","40","42","111","142","39",".285"
"1904","Beaneaters","1461","5135","5594","24","491","394","143","5.6%","",".063","",".237",".287",".300",".587",".285","84","","-4.9","-105.3","-61.6","3.0","1217","990","153","50","24","316","","","42","","101","","143","",".285"
"1909","Superbas","1510","5056","5579","16","442","370","141","5.9%","",".068","",".229",".279",".297",".576",".285","82","","-5.2","-112.6","-24.8","5.3","1158","907","176","59","16","330","","","20","","173","","141","",".285"
"1972","Angels","1885","5165","5639","78","454","420","57","6.3%","15.1%",".088",".275",".242",".293",".330",".623",".284","90","","-0.6","-55.0","33.4","15.1","1249","974","171","26","78","358","52","850","25","25","66","125","57","37",".284"
"1972","Indians","1981","5207","5769","91","472","440","49","7.3%","13.2%",".095",".257",".234",".293",".330",".623",".284","79","","-7.7","-130.6","79.0","11.2","1220","924","187","18","91","420","62","762","26","33","83","112","49","53",".284"
"1904","Browns","1473","5291","5817","10","481","406","150","5.7%","",".055","",".239",".291",".294",".585",".284","90","","-5.7","-67.7","-8.8","12.2","1266","1050","153","53","10","332","","","56","","138","","150","",".284"
"1882","Eclipse","713","2806","2934","9","443","","","4.4%","",".069","",".259",".292",".328",".620",".284","110","","0.0","39.1","-1.7","14.0","728","581","110","28","9","128","","","","","","","","",".284"
"1908","White Sox","1626","5027","5788","3","535","430","209","8.0%","",".047","",".224",".298",".271",".569",".284","93","","5.6","-33.9","61.5","23.4","1127","938","145","41","3","463","","","62","","236","","209","",".284"
"1888","Blues","1221","4603","4997","12","651","475","353","6.3%","",".061","",".234",".294",".295",".589",".284","93","","2.1","-49.1","-58.2","8.5","1076","877","128","59","12","315","","","79","","","","353","",".284"
"1884","Browns","1003","3952","4163","11","658","144","","4.1%","",".077","",".250",".288",".327",".614",".284","98","","0.0","-10.6","53.1","17.3","987","765","151","60","11","172","","","39","","","","","",".284"
"1967","Athletics","2127","5349","5938","69","533","481","132","7.6%","17.2%",".097",".273",".233",".296",".330",".625",".284","83","","8.3","-99.6","31.2","9.9","1244","913","212","50","69","452","39","1019","42","36","59","79","132","59",".284"
"1909","White Sox","1591","5018","5759","4","494","393","211","7.7%","",".054","",".221",".291",".275",".566",".284","86","","5.0","-73.9","58.0","16.5","1109","904","145","56","4","441","","","57","","243","","211","",".284"
"1981","Blue Jays","1179","3521","3887","61","329","314","66","7.3%","14.3%",".104",".252",".226",".286",".330",".617",".284","72","","-7.5","-125.3","-6.5","-1.9","797","576","137","23","61","284","23","556","20","18","44","72","66","56",".284"
"1907","Americans","1578","5235","5721","18","466","405","125","5.3%","",".058","",".234",".281",".292",".572",".284","81","","-7.6","-115.7","50.9","12.3","1224","1004","154","48","18","305","","","35","","146","","125","",".284"
"1905","Browns","1491","5207","5771","16","511","415","131","6.3%","",".057","",".232",".288",".289",".578",".284","89","","-9.6","-78.1","-2.7","11.1","1207","989","153","49","16","362","","","52","","150","","131","",".284"
"1907","Cardinals","1464","5008","5514","18","419","331","125","5.7%","",".056","",".232",".283",".288",".571",".283","81","","-7.2","-118.7","-12.3","5.2","1163","972","121","52","18","312","","","42","","152","","125","",".283"
"2011","Mariners","2090","5421","5972","109","556","534","125","7.3%","21.4%",".115",".283",".233",".292",".348",".640",".283","80","","11.9","-124.1","-36.6","3.9","1263","879","253","22","109","435","33","1280","37","41","38","82","125","40",".283"
"1884","Grays","1035","4093","4393","21","665","404","","6.8%","10.7%",".074",".268",".241",".293",".315",".608",".283","99","","0.0","-7.3","84.7","22.1","987","770","153","43","21","300","","469","","","","","","",".283"
"1968","Indians","2156","5416","5988","75","516","476","115","7.1%","14.3%",".094",".263",".234",".293",".327",".620",".283","85","","3.1","-84.7","64.9","15.0","1266","945","210","36","75","427","51","858","39","37","69","96","115","61",".283"
"1882","Red Stockings","722","3007","3109","5","489","329","","3.3%","",".068","",".264",".289",".332",".621",".283","107","","0.0","30.6","25.6","16.6","795","648","95","47","5","102","","","","","","","","",".283"
"2014","Padres","2362","5294","5905","109","535","500","91","7.9%","21.9%",".115",".277",".226",".292",".342",".634",".283","81","","-6.2","-129.0","56.9","11.7","1199","836","224","30","109","468","27","1294","41","45","56","118","91","34",".283"
"1908","Athletics","1580","5065","5656","21","487","392","116","6.5%","",".068","",".223",".281",".292",".572",".283","85","","-8.5","-91.2","-19.5","7.8","1131","877","183","50","21","368","","","37","","186","","116","",".283"
"1881","Blues","770","3117","3249","7","392","282","","4.1%","6.9%",".070",".273",".255",".286",".326",".611",".283","96","","0.0","-16.2","3.4","10.7","796","630","120","39","7","132","","224","","","","","","",".283"
"1969","Angels","2128","5316","5980","88","528","480","54","8.6%","15.5%",".089",".261",".230",".300",".319",".618",".283","77","","-1.9","-163.0","57.3","6.8","1221","953","151","29","88","516","65","929","32","41","75","105","54","39",".283"
"1908","Highlanders","1565","5047","5533","13","458","372","231","5.2%","",".056","",".236",".283",".291",".575",".283","80","","13.6","-91.6","-50.8","4.1","1190","985","142","50","13","288","","","45","","153","","231","",".283"
"1888","Hoosiers","1228","4623","4902","34","603","427","350","4.8%","10.0%",".075",".260",".238",".281",".313",".595",".283","88","","9.0","-68.3","-28.3","9.0","1100","853","180","33","34","236","","492","43","","","","350","",".283"
"2020","Rangers","865","1936","2147","62","224","204","49","7.8%","25.5%",".147",".266",".217",".285",".364",".648",".283","67","88.6","3.0","-84.1","-17.8","-2.4","420","269","80","9","62","167","3","548","24","18","2","33","49","14",".283"
"1876","Red Caps","630","2722","2780","9","471","281","","2.1%","3.5%",".063",".273",".266",".281",".328",".609",".283","102","","0.0","9.4","-1.2","9.7","723","594","96","24","9","58","","98","","","","","","",".283"
"1877","Reds","525","2135","2213","6","291","224","","3.5%","5.0%",".074",".267",".255",".282",".329",".611",".282","99","","0.0","-4.1","-51.2","1.6","545","433","72","34","6","78","","110","","","","","","",".282"
"1888","Orioles","1252","4656","5012","19","653","455","326","5.9%","",".077","",".229",".284",".306",".591",".282","93","","2.0","-46.9","-2.3","14.4","1068","817","162","70","19","298","","","58","","","","326","",".282"
"1886","Maroons","1144","4250","4485","30","547","406","156","5.2%","14.6%",".086",".272",".236",".276",".321",".597",".282","88","","-1.1","-82.6","-0.3","9.0","1001","742","183","46","30","235","","656","","","","","156","",".282"
"1971","Angels","2062","5495","6079","96","511","476","72","7.3%","13.6%",".098",".255",".231",".290",".329",".619",".282","79","","3.0","-136.6","50.8","10.3","1271","944","213","18","96","441","61","827","29","31","83","141","72","34",".282"
"1879","Reds","731","3085","3151","8","485","364","","2.1%","6.6%",".083",".280",".264",".279",".347",".626",".282","109","","0.0","38.2","3.7","13.6","813","625","127","53","8","66","","207","","","","","","",".282"
"1874","White Stockings","535","2462","2494","4","418","280","32","1.3%","2.2%",".043",".283",".278",".287",".322",".609",".282","93","","0.5","-31.5","8.3","6.5","685","590","87","4","4","32","","54","","","","","32","12",".282"
"1909","Browns","1546","4964","5487","10","443","351","136","6.0%","",".048","",".232",".287",".279",".566",".282","82","","-8.9","-108.9","-8.1","4.7","1151","980","116","45","10","331","","","51","","141","","136","",".282"
"1880","Red Caps","782","3080","3185","20","416","313","","3.3%","6.9%",".090",".267",".253",".278",".343",".620",".282","109","","0.0","35.6","-40.9","10.6","779","584","134","41","20","105","","221","","","","","","",".282"
