"Season","Team","G","AB","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","OPS","wOBA","wRC+","EV","BsR","Off","Def","WAR","H","1B","2B","3B","HR","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA"
"1899","Superbas","1409","4937","5614","27","892","723","271","8.5%","",".092","",".291",".368",".383",".751",".365","106","","7.9","56.2","44.6","29.1","1436","1134","178","97","27","477","","","125","","75","","271","",".365"
"1895","Reds","1254","4684","5190","36","903","766","326","8.0%","4.8%",".118",".309",".298",".359",".416",".775",".365","95","","19.7","-25.6","11.9","16.2","1395","1019","235","105","36","414","","249","36","","56","","326","",".365"
"1894","Giants","1284","4806","5314","43","940","789","319","9.0%","4.1%",".108",".309",".301",".368",".409",".776",".364","90","","11.9","-91.7","62.1","16.8","1446","1110","197","96","43","476","","217","32","","","","319","",".364"
"1950","Tigers","1799","5381","6232","114","837","788","23","11.6%","7.7%",".135",".293",".282",".369",".417",".786",".364","100","","-14.9","-12.7","75.4","27.8","1518","1069","285","50","114","722","","481","19","","110","162","23","40",".364"
"2000","Indians","1930","5683","6512","221","950","889","113","10.5%","16.2%",".182",".318",".288",".367",".470",".837",".364","109","","7.8","88.9","-29.4","27.1","1639","1078","310","30","221","685","27","1057","51","52","41","134","113","34",".364"
"1920","Yankees","1605","5173","5900","115","837","745","64","9.0%","10.5%",".146",".300",".280",".350",".426",".775",".364","104","","-2.3","26.9","51.6","28.6","1447","993","268","71","115","532","","621","23","","172","","64","81",".364"
"1929","Pirates","1741","5490","6198","60","904","828","94","8.1%","5.4%",".127",".315",".303",".364",".430",".794",".364","95","","16.3","-26.1","41.8","21.2","1663","1202","285","116","60","503","","335","29","","176","","94","",".364"
"2003","Red Sox","2313","5769","6530","238","961","932","88","9.5%","14.4%",".202",".307",".289",".360",".491",".851",".364","120","","3.5","167.2","-61.5","32.6","1667","1018","371","40","238","620","61","943","53","64","24","126","88","35",".364"
"1912","Giants","1697","5067","5802","47","823","701","319","8.9%","8.6%",".109",".310",".286",".360",".395",".755",".363","108","","19.2","81.0","38.1","32.3","1451","1084","231","89","47","514","","497","69","","152","","319","",".363"
"1997","Rockies","2232","5603","6338","239","923","869","137","8.9%","16.7%",".190",".316",".288",".357",".478",".835",".363","95","","-0.1","-43.3","43.5","19.9","1611","1063","269","40","239","562","35","1060","63","35","73","138","137","65",".363"
