"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","TBF","H","R","ER","HR","BB","IBB","HBP","SO","Pitches","Pitches","AVG","WHIP","RA9-WAR"
"1904","White Sox","89","65","3","178","156","1380.0","3.59","1.98","0.08",".256","68.9%","","","","2.30","2.40","","9.4","","1161","482","353","13","303","","47","550","","",".230","1.06","17.6"
"1904","Cubs","93","60","6","173","156","1383.2","4.02","2.61","0.10",".257","68.8%","","","","2.30","2.55","","15.2","","1150","511","354","16","402","","36","618","","",".228","1.12","23.6"
"1874","Mutuals","42","23","0","68","65","586.0","0.35","0.61","0.05",".287","46.3%","","","","2.30","3.00","","4.5","","658","377","150","3","40","","","23","","",".285","1.19","12.3"
"1915","Senators","85","68","13","254","155","1393.2","4.62","2.94","0.08",".263","71.2%","","","","2.31","2.47","","20.4","","1161","491","357","12","455","","48","715","","",".228","1.16","27.8"
"1918","Red Sox","75","51","2","154","126","1120.0","3.15","3.05","0.07",".246","72.3%","","","","2.31","2.73","","10.0","4557","931","381","287","9","380","","31","392","","",".225","1.17","16.4"
"1878","Red Caps","41","19","0","62","60","544.0","3.04","0.63","0.10",".304","62.8%","","","","2.32","2.21","","6.0","","595","241","140","6","38","","","184","","",".279","1.16","12.4"
"1877","Dark Blues","31","27","0","61","60","544.0","1.64","0.93","0.03",".284","50.7%","","","","2.32","2.83","","3.3","","572","311","140","2","56","","","99","","",".272","1.15","5.6"
"1878","Blues","24","36","1","67","63","578.0","2.83","1.35","0.05",".299","54.0%","","","","2.32","2.43","","2.5","","621","328","149","3","87","","","182","","",".276","1.22","3.0"
"1913","White Sox","78","74","8","251","153","1360.1","3.98","2.90","0.07",".267","71.0%","","","","2.33","2.73","","14.1","","1190","492","352","10","438","","34","602","","",".237","1.20","23.8"
"1888","Bridegrooms","88","52","0","148","143","1286.1","4.04","1.99","0.10",".255","57.4%","","","","2.33","2.58","","16.0","","1059","584","333","15","285","","0","577","","",".226","1.04","27.4"
"1907","Tigers","92","58","7","188","153","1370.2","3.36","2.50","0.05",".275","69.1%","","","","2.33","2.34","","14.0","","1281","537","355","8","380","","53","512","","",".249","1.21","18.5"
"1879","Bisons","46","32","0","80","79","713.0","2.50","0.59","0.04",".277","51.3%","","","","2.34","2.44","","8.7","","698","365","185","3","47","","","198","","",".258","1.04","12.7"
"1904","Reds","88","65","2","172","157","1392.2","3.24","2.22","0.08",".266","67.6%","","","","2.34","2.56","","22.0","","1256","548","362","13","343","","55","502","","",".242","1.15","26.8"
"1908","Senators","67","85","7","215","155","1390.2","4.20","2.25","0.10",".272","67.6%","","","","2.34","2.07","","12.5","","1236","541","362","16","348","","41","649","","",".240","1.14","9.7"
"1907","Athletics","88","57","6","215","150","1354.2","5.24","2.51","0.09",".265","68.0%","","","","2.35","1.97","","19.0","","1106","509","353","13","378","","67","789","","",".225","1.10","19.2"
"1904","Athletics","81","70","0","175","155","1361.1","5.86","2.42","0.09",".278","68.9%","","","","2.35","2.05","","21.0","","1149","503","355","13","366","","63","887","","",".230","1.11","19.7"
