,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,WAR
,Dodgers,69,80,14,306,151,1332,3.17,3.01,0.59,0.288,67.90%,,,,4.07,4.15,,12.9
,Reds,82,68,16,281,151,1362,3.58,3.06,0.5,0.266,68.90%,,,,3.62,3.89,,12.8
,Browns,55,97,7,290,156,1344.2,4.23,4.93,0.88,0.309,64.10%,,,,5.8,4.96,,12.1
,Senators,75,76,11,308,152,1360.1,3.41,4.33,0.61,0.286,63.30%,,,,4.94,4.55,,10
,Phillies,45,105,6,291,151,1329.1,3.33,3.94,0.51,0.298,63.60%,,,,4.93,4.3,,8.4
,Athletics,53,99,12,297,154,1324,3.22,4.07,0.97,0.295,62.00%,,,,5.48,5,,8
,Bees,77,75,12,262,153,1380,2.69,3.03,0.43,0.265,70.40%,,,,3.4,4.02,,8
1937,Red Sox,80,72,14,286,154,1366,4.49,3.93,0.61,0.3,67.70%,,,,4.49,4.26,,20.1
,Indians,83,71,15,316,156,1364.2,4.15,3.73,0.4,0.308,66.50%,,,,4.39,4,,19.9
,Yankees,102,52,21,257,157,1396,4.2,3.26,0.59,0.279,70.00%,,,,3.65,4.07,,17
,Pirates,86,68,17,303,154,1366.1,4.24,2.82,0.47,0.285,68.60%,,,,3.56,3.75,,16.8
,Dodgers,62,91,8,315,155,1362.2,3.91,3.14,0.45,0.292,63.80%,,,,4.13,3.91,,15.2
,Giants,95,57,17,294,152,1361,4.32,2.67,0.56,0.276,70.70%,,,,3.43,3.83,,14.7
,Phillies,61,91,15,332,155,1373.2,3.47,3.28,0.76,0.307,64.70%,,,,5.04,4.53,,14
,White Sox,86,68,21,262,154,1351.1,3.55,3.54,0.77,0.281,68.80%,,,,4.17,4.58,,14
,Reds,56,98,18,317,155,1358.1,3.85,3.53,0.25,0.292,66.10%,,,,3.94,3.76,,13.9
,Cardinals,80,73,4,297,156,1392,3.69,2.9,0.61,0.294,68.00%,,,,3.96,4.1,,13.5
,Tigers,89,65,11,287,155,1378,3.17,4.15,0.67,0.288,65.70%,,,,4.87,4.73,,11.5
,Cubs,93,61,13,302,154,1381.1,3.88,3.27,0.59,0.282,69.70%,,,,3.97,4.17,,11
,Athletics,54,97,9,297,154,1335,3.16,4.13,0.71,0.288,64.20%,,,,4.85,4.77,,10.1
,Bees,79,73,10,255,152,1359.1,2.56,2.46,0.4,0.266,71.30%,,,,3.22,3.89,,9.7
,Senators,73,80,14,280,158,1398.2,3.44,4.35,0.62,0.287,65.70%,,,,4.58,4.66,,8
,Browns,46,108,8,313,156,1363,3.09,4.31,0.94,0.32,63.50%,,,,6,5.22,,7.2
1936,Red Sox,74,80,9,298,155,1372.1,3.83,3.62,0.51,0.294,66.60%,,,,4.39,4.4,,21.7
,Indians,80,74,12,312,157,1389.1,4.01,3.93,0.47,0.31,64.40%,,,,4.83,4.43,,18.8
,Pirates,84,70,12,293,156,1395.1,3.61,2.44,0.48,0.282,65.30%,,,,3.89,4.01,,17.9
,Phillies,54,100,14,323,154,1365.1,2.99,3.39,0.57,0.301,63.50%,,,,4.64,4.64,,16.2
,Cardinals,87,67,24,321,155,1398,3.6,2.79,0.57,0.301,65.70%,,,,4.47,4.3,,14.9
,Cubs,87,67,10,293,154,1382.1,3.89,2.83,0.5,0.282,71.80%,,,,3.54,4.13,,14.8
,Tigers,83,71,13,281,154,1360,3.48,3.72,0.66,0.301,63.70%,,,,5,4.73,,13.6
,Reds,74,80,23,315,154,1367.1,3.02,2.75,0.34,0.3,64.50%,,,,4.22,4.05,,13.5
,Yankees,102,51,21,274,155,1400.1,4.01,4.26,0.54,0.289,69.80%,,,,4.17,4.6,,13.4
,Senators,82,71,14,265,153,1345.2,3.09,3.93,0.49,0.291,65.00%,,,,4.58,4.64,,13.4
,Giants,92,62,22,302,154,1385.2,3.25,2.6,0.49,0.286,70.40%,,,,3.46,4.16,,12.9
,Dodgers,67,87,18,325,156,1403,4.18,3.39,0.54,0.284,66.60%,,,,3.98,4.3,,12.5
,White Sox,81,70,8,257,153,1365,2.73,3.81,0.69,0.298,64.70%,,,,5.06,4.97,,12.4
,Browns,57,95,13,348,155,1348.1,2.66,4.07,0.77,0.319,60.20%,,,,6.24,5.24,,10.2
,Bees,71,83,13,291,156,1413.1,2.68,2.87,0.44,0.289,68.20%,,,,3.94,4.31,,6
,Athletics,53,100,12,284,154,1352.1,2.7,4.63,0.87,0.3,60.50%,,,,6.08,5.52,,4.8
1935,Pirates,86,67,11,271,153,1365.2,3.62,2.06,0.42,0.28,66.60%,,,,3.42,3.58,,21.4
,Cardinals,96,58,18,293,154,1384.2,3.91,2.45,0.44,0.285,69.80%,,,,3.52,3.7,,20.5
,Indians,82,71,21,294,156,1396,3.21,2.95,0.44,0.289,66.20%,,,,4.15,3.99,,20.3
,Red Sox,78,75,11,292,154,1376,3.07,3.4,0.44,0.291,67.50%,,,,4.05,4.18,,19.9
,Tigers,93,58,11,247,152,1364,3.85,3.44,0.51,0.288,70.50%,,,,3.82,4.16,,17.4
,Cubs,100,54,14,272,154,1394.1,3.8,2.58,0.55,0.278,72.20%,,,,3.26,3.91,,15.1
,Phillies,64,89,15,358,156,1374.2,3.11,3.31,0.69,0.302,64.70%,,,,4.76,4.57,,14.3
,Browns,65,87,15,374,155,1380.1,2.84,4.18,0.6,0.304,63.50%,,,,5.26,4.72,,13.2
,Reds,68,85,13,315,154,1356,3.32,2.91,0.43,0.291,63.50%,,,,4.3,3.97,,12.3
,Yankees,89,60,13,269,149,1331,4.02,3.49,0.62,0.264,69.90%,,,,3.6,4.24,,11.2
,White Sox,74,78,8,255,153,1360.2,2.88,3.8,0.69,0.276,68.10%,,,,4.38,4.73,,10.9
,Dodgers,70,83,20,299,154,1358,3.18,2.89,0.58,0.291,65.20%,,,,4.22,4.19,,10.9
,Giants,91,62,11,290,156,1403.2,3.36,2.64,0.68,0.269,69.30%,,,,3.78,4.23,,8.4
,Athletics,58,91,10,297,149,1326.1,3.18,4.78,0.5,0.294,63.70%,,,,5.12,4.71,,7.9
,Senators,67,86,12,297,154,1378.2,2.98,4,0.58,0.31,64.50%,,,,5.25,4.63,,7.8
,Braves,38,115,5,289,153,1330,2.4,2.73,0.55,0.306,62.20%,,,,4.93,4.27,,4.1
1934,Cardinals,95,58,16,300,154,1386.2,4.47,2.67,0.5,0.291,69.50%,,,,3.69,3.81,,19.4
,Red Sox,76,76,9,291,153,1361,3.56,3.59,0.46,0.297,66.10%,,,,4.32,4.25,,18.8
,Tigers,101,53,14,282,154,1370.2,4.2,3.2,0.56,0.293,68.20%,,,,4.06,4.1,,17.9
,Indians,85,69,19,297,154,1367,3.65,3.83,0.46,0.291,66.50%,,,,4.28,4.31,,17.2
,Cubs,86,65,9,281,152,1361.1,4.18,2.76,0.53,0.288,70.00%,,,,3.76,3.92,,15.2
,Yankees,94,60,10,265,154,1382.2,4.27,3.53,0.46,0.274,68.40%,,,,3.76,4.04,,15
,Giants,93,60,30,282,153,1370,3.28,2.31,0.49,0.272,71.00%,,,,3.19,3.91,,14.4
,Pirates,74,76,8,310,151,1329.2,3.3,2.4,0.53,0.296,66.50%,,,,4.2,4.02,,14.3
,Browns,67,85,20,326,154,1350,3.33,4.21,0.63,0.293,66.80%,,,,4.49,4.72,,13.8
,Reds,52,99,19,334,152,1347.2,2.93,2.6,0.41,0.311,63.80%,,,,4.37,3.98,,13.3
,Senators,66,86,12,318,155,1381.1,2.68,3.28,0.48,0.301,65.50%,,,,4.68,4.34,,12.6
,Phillies,56,93,15,324,149,1297,2.89,3.03,0.87,0.289,65.60%,,,,4.76,4.82,,11.5
,Dodgers,71,81,12,319,153,1354.1,3.46,3.16,0.54,0.299,64.90%,,,,4.48,4.24,,9.9
,Athletics,68,82,8,297,153,1337,3.23,4.66,0.57,0.284,64.50%,,,,5.01,4.83,,9.4
,Braves,78,73,20,290,152,1359.2,3.06,2.68,0.52,0.289,66.90%,,,,4.11,4.12,,8.1
,White Sox,53,99,8,271,153,1355,3.36,4.17,0.92,0.296,63.50%,,,,5.41,5.14,,4.1
1933,Indians,75,76,7,275,151,1350,2.91,3.1,0.4,0.273,67.10%,,,,3.71,3.8,,18.6
,Cardinals,82,71,16,282,154,1382.2,4.13,2.94,0.36,0.282,70.20%,,,,3.37,3.41,,18.5
,Senators,99,53,26,303,153,1389.2,2.89,2.93,0.41,0.274,67.90%,,,,3.82,3.76,,15.7
,Pirates,87,67,12,298,154,1373.1,2.63,2.05,0.35,0.272,67.60%,,,,3.27,3.46,,15.5
,Reds,58,94,8,266,153,1352,2.06,1.71,0.31,0.282,65.50%,,,,3.42,3.39,,15
,Tigers,75,79,17,284,155,1398,3.7,3.61,0.54,0.275,67.30%,,,,3.96,4.01,,14.5
,Browns,55,96,10,300,153,1360.2,2.82,3.51,0.63,0.295,65.50%,,,,4.82,4.29,,13.9
,Yankees,91,59,22,275,152,1354.2,4.72,4.07,0.44,0.293,65.60%,,,,4.36,3.77,,13.3
,Giants,91,61,15,282,156,1408.2,3.55,2.56,0.39,0.256,73.50%,,,,2.71,3.48,,12.8
,Cubs,86,68,9,251,154,1362,3.22,2.73,0.34,0.266,72.50%,,,,2.93,3.54,,12.4
,Phillies,60,92,13,322,152,1336.2,2.3,2.76,0.59,0.294,66.30%,,,,4.34,4.15,,12.2
,Dodgers,65,88,10,290,157,1386.1,2.69,2.43,0.33,0.283,66.40%,,,,3.73,3.57,,11.7
,Red Sox,63,86,14,295,149,1327.2,3.21,4.01,0.51,0.28,65.60%,,,,4.35,4.2,,11.5
,Braves,83,71,16,258,156,1403,2.46,2.28,0.35,0.266,72.90%,,,,2.96,3.53,,10.4
,White Sox,67,83,13,318,151,1371.1,2.78,3.41,0.56,0.283,64.00%,,,,4.45,4.18,,9.9
,Athletics,79,72,14,294,152,1343.2,2.83,4.31,0.52,0.29,64.20%,,,,4.81,4.39,,9.2
1932,Indians,87,65,8,245,153,1377.1,2.87,2.91,0.46,0.283,65.40%,,,,4.12,4.04,,22
,Cardinals,72,82,9,295,156,1396,4.39,2.93,0.49,0.304,67.90%,,,,3.97,3.78,,19.5
,Cubs,90,64,7,286,154,1401,3.39,2.63,0.44,0.278,69.90%,,,,3.44,3.83,,15.5
,Yankees,107,47,15,249,156,1408,4.99,3.59,0.59,0.284,68.30%,,,,3.98,4.01,,15.2
,Reds,60,94,6,267,155,1394.2,2.32,1.78,0.45,0.278,64.00%,,,,3.79,3.78,,15.1
,Phillies,78,76,17,314,154,1384,2.98,2.93,0.7,0.293,66.30%,,,,4.47,4.4,,15.1
,Athletics,94,60,10,246,154,1386,3.86,3.32,0.73,0.283,67.90%,,,,4.45,4.35,,14.6
,Browns,63,91,11,304,154,1376.2,3.24,3.75,0.67,0.299,63.10%,,,,5.01,4.57,,14.6
,Senators,93,61,22,293,154,1383.1,2.84,3.42,0.47,0.28,67.60%,,,,4.16,4.23,,14
,Tigers,76,75,17,273,153,1362.2,3.44,3.91,0.59,0.278,65.50%,,,,4.3,4.47,,13.5
,Dodgers,81,73,16,307,154,1379.2,3.24,2.63,0.47,0.295,65.30%,,,,4.27,3.91,,13.1
,Pirates,86,68,12,280,154,1377,2.46,2.21,0.56,0.273,65.40%,,,,3.75,4.06,,12.2
,Braves,77,77,8,279,155,1414,2.8,2.67,0.39,0.28,69.20%,,,,3.53,3.91,,10.3
,Red Sox,43,111,7,342,154,1362,2.41,4.04,0.52,0.292,62.00%,,,,5.02,4.65,,7.7
,White Sox,49,102,12,318,152,1348.2,2.53,3.87,0.59,0.291,62.00%,,,,4.82,4.66,,7.6
,Giants,72,82,16,310,154,1375.1,3.31,2.53,0.73,0.287,69.30%,,,,3.83,4.24,,7
1931,Athletics,107,45,16,235,153,1365.1,3.78,3.01,0.48,0.275,69.30%,,,,3.47,3.99,,19.2
,Cardinals,101,53,20,265,154,1384.2,4.07,2.92,0.42,0.295,71.70%,,,,3.45,3.84,,17.2
,Robins,79,73,18,295,153,1356,3.62,2.33,0.37,0.301,66.90%,,,,3.84,3.66,,16.9
,Phillies,66,88,16,318,155,1360.1,3.3,3.38,0.5,0.306,64.70%,,,,4.58,4.3,,16.8
,Browns,63,91,10,283,154,1362,2.88,2.96,0.56,0.303,61.90%,,,,4.76,4.31,,15.7
,Indians,78,76,9,279,155,1354.2,3.12,3.73,0.43,0.3,64.10%,,,,4.63,4.33,,15.2
,Senators,92,62,24,301,156,1394.1,3.76,3.21,0.47,0.281,68.00%,,,,3.76,4.06,,14.4
,Yankees,94,59,17,287,155,1410.1,4.38,3.47,0.43,0.286,65.60%,,,,4.21,3.97,,14.3
,Giants,87,65,12,258,153,1360.2,3.77,2.79,0.47,0.271,70.60%,,,,3.3,3.93,,12.9
,Tigers,61,93,6,246,154,1384.1,3.32,3.88,0.51,0.294,64.80%,,,,4.59,4.47,,12.9
,Cubs,84,70,8,300,156,1385.2,3.51,3.4,0.35,0.284,67.20%,,,,3.97,4.05,,12.7
,Red Sox,62,90,10,314,153,1366.2,2.4,3.11,0.36,0.292,63.40%,,,,4.6,4.19,,12.4
,Pirates,75,79,5,252,155,1390,2.23,2.86,0.36,0.279,67.30%,,,,3.66,4.13,,11.5
,Braves,64,90,9,278,156,1380.1,2.73,2.65,0.43,0.279,67.20%,,,,3.9,4.05,,9.8
,Reds,58,96,6,287,154,1345,2.12,2.67,0.34,0.297,64.60%,,,,4.22,4.07,,9.6
,White Sox,56,97,10,326,156,1390.1,2.73,3.81,0.53,0.295,61.10%,,,,5.04,4.61,,5.5
1930,Cardinals,92,62,21,304,154,1380.2,4.17,3.1,0.57,0.311,66.50%,,,,4.39,4.48,,19.9
,Athletics,102,52,21,290,154,1371,4.41,3.2,0.55,0.292,65.70%,,,,4.28,4.43,,19.7
,Senators,94,60,14,265,154,1369,3.44,3.31,0.34,0.277,66.30%,,,,3.96,4.39,,17.4
,Robins,86,68,15,292,154,1372,3.45,2.58,0.75,0.283,66.70%,,,,4.03,4.73,,15
,Indians,81,73,14,293,154,1360,2.92,3.49,0.56,0.309,62.10%,,,,4.88,4.88,,14.7
,Cubs,90,64,12,330,156,1403.2,3.85,3.39,0.71,0.305,65.00%,,,,4.8,4.86,,14
,White Sox,62,92,10,300,154,1361,3.11,2.69,0.49,0.307,60.20%,,,,4.71,4.48,,13.9
,Reds,59,95,11,303,154,1335,2.43,2.66,0.51,0.311,61.50%,,,,5.08,4.63,,13.6
,Tigers,75,79,17,291,154,1351.2,3.82,3.8,0.57,0.298,64.20%,,,,4.7,4.82,,13.5
,Phillies,52,102,7,357,156,1372.2,2.52,3.56,0.93,0.34,57.80%,,,,6.71,5.54,,12.6
,Giants,87,67,19,311,154,1363.1,3.45,2.9,0.77,0.293,64.90%,,,,4.61,4.88,,12
,Browns,64,90,10,276,154,1371.2,3.08,2.95,0.81,0.302,62.80%,,,,5.07,5.03,,11.6
,Pirates,80,74,13,261,154,1361.1,2.6,2.9,0.85,0.309,62.90%,,,,5.24,5.17,,11.4
,Red Sox,52,102,5,246,154,1360.1,2.36,3.23,0.5,0.285,63.10%,,,,4.68,4.81,,10.7
,Braves,70,84,11,278,154,1361,2.8,3.14,0.77,0.3,65.60%,,,,4.91,5.07,,9.3
,Yankees,86,68,15,304,154,1367.2,3.76,3.45,0.61,0.298,62.00%,,,,4.88,4.76,,8.6
1929,Indians,81,71,10,254,152,1352,2.59,3.25,0.37,0.3,67.10%,,,,4.05,4.27,,17.7
,Senators,71,81,17,291,153,1354.2,3.28,3.3,0.32,0.287,62.30%,,,,4.34,4.04,,17.1
,Cubs,98,54,21,295,158,1398.2,3.53,3.46,0.5,0.297,67.30%,,,,4.16,4.29,,16.9
,Athletics,104,46,24,277,151,1357,3.8,3.23,0.48,0.277,71.00%,,,,3.44,4.13,,16.9
,Reds,66,88,8,276,155,1369.1,2.28,2.71,0.4,0.293,64.70%,,,,4.41,4.19,,16
,Pirates,88,65,13,288,154,1379,2.67,2.87,0.63,0.284,65.30%,,,,4.36,4.47,,15.6
,Browns,79,73,10,271,154,1371,2.72,3.03,0.66,0.279,68.30%,,,,4.08,4.55,,14.7
,Cardinals,78,74,8,269,154,1359.2,3,3.14,0.67,0.302,66.10%,,,,4.66,4.57,,14.7
,Giants,84,67,13,283,152,1372,2.83,2.54,0.67,0.288,68.50%,,,,3.97,4.38,,14.2
,Tigers,70,84,9,294,155,1390.1,3.02,4.18,0.47,0.306,62.70%,,,,4.96,4.63,,12.9
,Robins,70,83,16,326,153,1358,3.64,3.64,0.61,0.298,62.30%,,,,4.92,4.53,,12.5
,Red Sox,58,96,5,260,155,1366.2,2.74,3.27,0.51,0.293,64.50%,,,,4.43,4.45,,10.9
,Yankees,88,66,17,298,154,1366.2,3.19,3.19,0.55,0.284,64.80%,,,,4.19,4.36,,10.1
,Phillies,71,82,24,358,154,1348,2.46,4.11,0.81,0.314,61.20%,,,,6.13,5.25,,9.2
,White Sox,59,93,7,252,152,1357.2,2.17,3.35,0.56,0.28,64.40%,,,,4.41,4.67,,9
,Braves,56,98,12,262,154,1352.2,2.44,3.53,0.69,0.299,63.70%,,,,5.12,4.84,,7.7
1928,Athletics,98,55,16,256,153,1367.2,3.99,2.79,0.43,0.271,69.30%,,,,3.36,3.62,,19.3
,Robins,77,76,15,296,155,1396,3.55,3.02,0.38,0.271,69.00%,,,,3.25,3.73,,18.5
,Cubs,91,63,14,276,154,1380.2,3.46,3.31,0.37,0.279,70.90%,,,,3.4,3.83,,17.8
,Pirates,85,67,11,264,152,1354,2.56,2.96,0.44,0.275,66.10%,,,,3.95,4.01,,16.8
,Cardinals,95,59,21,273,154,1415.1,2.68,2.54,0.55,0.272,71.10%,,,,3.38,4,,16.5
,Senators,75,79,10,273,155,1384,3,3.03,0.26,0.277,65.10%,,,,3.88,3.68,,16.3
,Giants,93,61,16,281,155,1394,2.58,2.61,0.5,0.275,69.20%,,,,3.67,3.96,,14.9
,Reds,78,74,11,273,153,1371.2,2.33,2.69,0.38,0.289,67.60%,,,,3.94,3.86,,13.7
,Indians,62,92,15,277,155,1378,2.72,3.34,0.34,0.301,63.90%,,,,4.47,3.99,,13.3
,Red Sox,57,96,9,285,154,1352,2.71,3.01,0.33,0.286,63.40%,,,,4.39,3.86,,13.2
,Browns,82,72,15,282,154,1374.1,2.99,2.97,0.61,0.274,66.80%,,,,4.17,4.14,,13.1
,Yankees,101,53,21,266,154,1375.1,3.19,2.96,0.39,0.273,67.50%,,,,3.74,3.78,,12.8
,Tigers,68,86,16,284,154,1372,2.96,3.72,0.38,0.282,64.00%,,,,4.32,4.11,,11.8
,White Sox,72,82,11,248,155,1378,2.73,3.27,0.43,0.277,67.80%,,,,3.98,4.08,,10
,Phillies,43,109,11,341,152,1355.2,2.68,4.48,0.72,0.312,64.20%,,,,5.5,4.92,,6.6
,Braves,50,103,6,321,153,1360,2.27,3.47,0.66,0.293,63.80%,,,,4.83,4.57,,2.6
1927,Athletics,91,63,25,315,155,1384,3.6,2.87,0.42,0.289,65.80%,,,,3.97,3.87,,18.4
,Reds,75,78,12,246,153,1368,2.68,2.08,0.24,0.288,65.70%,,,,3.54,3.51,,18.3
,Pirates,94,60,10,263,156,1385,2.83,2.72,0.38,0.27,67.20%,,,,3.66,3.9,,17.1
,Yankees,110,44,20,264,155,1389.2,2.79,2.65,0.27,0.275,69.50%,,,,3.2,3.72,,17
,Robins,65,88,10,285,154,1375.1,3.76,2.74,0.41,0.276,69.10%,,,,3.36,3.75,,15.2
,Indians,66,87,8,285,153,1353.1,2.43,3.38,0.25,0.298,65.10%,,,,4.27,4.05,,15
,Senators,85,69,23,320,157,1402,3.19,3.15,0.34,0.278,65.40%,,,,3.97,3.95,,14
,Cardinals,92,61,11,263,153,1367.1,2.59,2.39,0.47,0.273,66.70%,,,,3.57,3.97,,14
,Phillies,51,103,6,267,155,1355.1,2.5,3.07,0.56,0.316,62.40%,,,,5.36,4.37,,13.6
,White Sox,70,83,8,248,153,1367,2.4,2.9,0.36,0.284,66.10%,,,,3.89,4.04,,12.1
,Tigers,82,71,17,287,156,1387.2,2.73,3.74,0.34,0.294,65.00%,,,,4.14,4.25,,12.1
,Cubs,85,68,5,267,153,1385,3.02,3.34,0.32,0.282,69.20%,,,,3.65,4.02,,11.7
,Red Sox,51,103,7,288,154,1366.1,2.51,3.68,0.37,0.305,63.40%,,,,4.72,4.32,,10.2
,Braves,60,94,11,311,156,1390,2.6,3.03,0.28,0.3,65.10%,,,,4.22,3.92,,9.9
,Browns,59,94,8,276,155,1353.1,2.56,4.02,0.53,0.297,62.30%,,,,4.95,4.6,,9.5
,Giants,92,62,16,302,155,1381.2,2.88,2.95,0.5,0.288,67.60%,,,,3.97,4.15,,9.3
1926,Athletics,83,67,16,306,150,1346,3.82,3.02,0.25,0.285,71.20%,,,,3,3.51,,21.1
,Reds,87,67,8,264,157,1408.2,2.71,2.07,0.26,0.278,65.90%,,,,3.42,3.43,,18
,Indians,88,66,4,235,154,1374,2.5,2.95,0.32,0.275,70.50%,,,,3.4,3.9,,16.6
,Pirates,84,69,18,288,157,1379.1,2.53,2.97,0.33,0.275,66.60%,,,,3.67,3.89,,15.4
,Cubs,82,72,14,269,155,1378.1,3.32,3.17,0.25,0.286,70.80%,,,,3.26,3.68,,15.1
,White Sox,81,72,12,255,155,1380,2.99,3.3,0.31,0.28,68.10%,,,,3.74,3.82,,14.9
,Robins,71,82,9,263,155,1361.2,3.42,3.12,0.33,0.285,65.90%,,,,3.82,3.72,,14.1
,Phillies,58,93,5,323,152,1334.1,2.23,3.06,0.46,0.316,61.30%,,,,5.03,4.15,,13.9
,Tigers,79,75,18,321,157,1394.2,3.03,3.58,0.37,0.299,64.20%,,,,4.41,4.07,,13.2
,Yankees,91,63,20,302,155,1372.1,3.19,3.13,0.37,0.281,66.00%,,,,3.86,3.84,,13.1
,Cardinals,89,65,6,274,156,1398.2,2.35,2.55,0.49,0.269,67.00%,,,,3.67,3.99,,12.9
,Red Sox,46,107,5,317,154,1362,2.22,3.61,0.3,0.29,61.90%,,,,4.72,4.12,,11.3
,Senators,81,69,26,295,152,1348.1,2.79,3.78,0.3,0.292,65.10%,,,,4.34,4.07,,10.3
,Braves,66,86,9,285,153,1365.1,2.69,3,0.3,0.297,66.70%,,,,4.01,3.83,,9.9
,Giants,74,77,15,286,151,1341.2,2.81,2.86,0.47,0.273,67.00%,,,,3.77,3.96,,9.1
,Browns,62,92,9,294,155,1368,2.22,4.3,0.57,0.29,65.50%,,,,4.66,4.74,,7.2
1925,Reds,80,73,12,256,153,1375.1,2.86,2.12,0.23,0.284,66.20%,,,,3.37,3.58,,21.5
,Indians,70,84,9,258,155,1372.1,2.26,3.23,0.27,0.299,63.50%,,,,4.49,4.16,,17.1
,Athletics,88,64,18,314,153,1381.2,3.22,3.54,0.39,0.286,68.00%,,,,3.87,4.21,,16.7
,Pirates,95,58,13,272,153,1354.2,2.56,2.57,0.54,0.291,67.20%,,,,3.87,4.25,,14.8
,Phillies,68,85,9,304,153,1350.2,2.47,2.96,0.78,0.314,62.70%,,,,5.02,4.72,,14
,Giants,86,66,8,265,153,1354,2.96,2.71,0.49,0.296,67.70%,,,,3.94,4.09,,13.9
,Yankees,69,85,13,279,156,1387.2,3.19,3.28,0.51,0.298,66.50%,,,,4.33,4.29,,13.8
,Robins,68,85,4,281,153,1350.2,3.45,3.18,0.5,0.312,62.20%,,,,4.77,4.2,,13.7
,Senators,96,55,21,297,152,1358.1,3.07,3.6,0.32,0.289,69.30%,,,,3.67,4.17,,13.4
,Tigers,81,73,18,298,156,1383.2,2.73,3.62,0.46,0.299,64.90%,,,,4.59,4.46,,12.8
,White Sox,79,75,13,283,154,1385.2,2.43,3.18,0.45,0.296,66.00%,,,,4.27,4.31,,12.3
,Red Sox,47,105,6,280,152,1326.2,2.1,3.46,0.45,0.304,60.20%,,,,4.97,4.54,,11.9
,Cardinals,77,76,7,258,153,1335.2,2.88,3.17,0.58,0.289,65.50%,,,,4.36,4.45,,11.1
,Cubs,68,86,10,269,154,1370,2.84,3.19,0.67,0.296,67.60%,,,,4.41,4.57,,10.1
,Browns,82,71,10,314,154,1379.2,2.73,4.4,0.65,0.297,64.40%,,,,4.92,4.97,,9.8
,Braves,70,83,4,282,153,1366.2,2.31,3.02,0.44,0.292,63.60%,,,,4.39,4.27,,9.6
1924,Pirates,90,63,5,258,153,1382,2.37,2.1,0.27,0.273,68.80%,,,,3.27,3.66,,20
,Reds,83,70,9,257,153,1378,2.95,1.91,0.2,0.279,68.20%,,,,3.12,3.37,,19.8
,Robins,92,62,5,238,154,1376,4.17,2.64,0.38,0.291,66.80%,,,,3.64,3.62,,17.9
,Red Sox,67,87,16,301,157,1391.1,2.68,3.38,0.28,0.29,64.60%,,,,4.34,4.11,,14.8
,Phillies,55,96,10,306,152,1354.1,2.32,3.12,0.56,0.314,64.80%,,,,4.87,4.44,,14.5
,Tigers,86,68,20,314,156,1394.2,2.85,3.01,0.35,0.297,64.50%,,,,4.19,4.02,,14.4
,Senators,92,62,25,284,156,1383,3.05,3.29,0.22,0.267,69.10%,,,,3.36,3.87,,14.2
,Indians,67,86,7,272,153,1349,2.1,3.36,0.29,0.301,64.00%,,,,4.4,4.19,,13.7
,Athletics,71,81,10,296,152,1345,2.48,3.99,0.29,0.296,65.90%,,,,4.38,4.3,,13.5
,Browns,74,78,7,329,153,1353.1,2.57,3.44,0.45,0.288,64.50%,,,,4.57,4.37,,13
,Yankees,89,63,13,265,153,1359.1,3.22,3.46,0.39,0.291,70.00%,,,,3.86,4.1,,12.9
,Braves,53,100,4,277,154,1379.1,2.38,2.62,0.32,0.305,63.00%,,,,4.46,3.91,,10.7
,White Sox,66,87,11,272,154,1370.2,2.36,3.36,0.34,0.301,62.70%,,,,4.74,4.19,,10.7
,Giants,93,60,21,302,154,1378.2,2.65,2.56,0.5,0.279,69.80%,,,,3.62,4.07,,9.4
,Cubs,81,72,6,261,154,1380.2,2.71,2.86,0.58,0.278,68.00%,,,,3.83,4.28,,8.9
,Cardinals,65,89,6,273,154,1364.2,2.59,3.21,0.46,0.294,66.70%,,,,4.15,4.29,,8.2
1923,Reds,91,63,9,251,154,1391.1,2.91,2.32,0.18,0.286,67.60%,,,,3.21,3.39,,20.7
,Indians,82,71,11,296,153,1376,2.66,3.04,0.24,0.291,64.70%,,,,3.91,3.78,,17.7
,Pirates,87,67,9,253,154,1376.1,2.71,2.63,0.35,0.292,66.70%,,,,3.87,3.76,,17.4
,Browns,74,78,10,280,151,1373.1,3.2,3.46,0.39,0.283,66.90%,,,,3.93,4.04,,16.4
,Robins,76,78,5,247,155,1396.2,3.53,3.07,0.35,0.289,65.40%,,,,3.74,3.77,,16
,White Sox,69,85,11,282,156,1397,3.01,3.44,0.32,0.288,66.70%,,,,4.05,3.95,,13.7
,Yankees,98,54,10,220,152,1380.2,3.3,3.2,0.44,0.272,70.50%,,,,3.62,3.96,,13.7
,Tigers,83,71,12,318,155,1373.2,2.93,2.94,0.38,0.289,65.70%,,,,4.09,3.93,,13.3
,Phillies,50,104,8,305,155,1376.1,2.51,3.59,0.65,0.323,61.40%,,,,5.34,4.6,,13.2
,Red Sox,61,91,11,269,154,1372,2.7,3.41,0.31,0.3,64.00%,,,,4.2,4.07,,12.7
,Athletics,69,83,12,284,153,1364.2,2.64,3.63,0.45,0.281,65.80%,,,,4.08,4.25,,11.4
,Cubs,83,71,11,261,154,1366.2,2.69,2.86,0.57,0.271,66.90%,,,,3.82,4.18,,11.1
,Braves,54,100,7,308,155,1392.2,2.27,2.55,0.41,0.305,64.40%,,,,4.21,3.94,,10.9
,Cardinals,79,74,7,280,154,1398.1,2.56,2.93,0.45,0.287,67.30%,,,,3.87,4.09,,10.5
