,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,WAR
,Cardinals,83,79,43,708,162,1450.1,8.38,3.06,1.14,0.298,73.60%,46.30%,13.50%,86.8,4.01,4.09,4.12,15.7
,Rays,80,82,53,673,162,1445,8.42,3.13,1.2,0.283,73.00%,43.00%,12.80%,87.7,3.99,4.17,4.29,15
,Phillies,66,96,33,668,162,1441,8.18,3.29,1.38,0.304,73.00%,42.90%,14.10%,87.1,4.57,4.56,4.5,14.3
,Royals,80,82,39,700,162,1437.2,7.61,3.25,1.23,0.303,70.90%,43.70%,12.00%,87.5,4.63,4.43,4.68,13.7
,Tigers,64,98,32,672,162,1420.1,7.62,3.41,1.38,0.32,68.70%,39.40%,12.80%,87.9,5.36,4.73,4.87,11.5
,Giants,64,98,32,664,162,1452,7.65,3.07,1.13,0.308,71.10%,42.50%,11.50%,87.7,4.5,4.22,4.53,11.4
,Rangers,78,84,29,626,162,1434.1,6.95,3.51,1.34,0.289,70.90%,44.20%,13.60%,86.8,4.7,4.88,4.89,11.2
,Angels,80,82,43,705,162,1440.2,8.2,2.94,1.4,0.289,74.90%,41.60%,14.10%,88.4,4.2,4.43,4.37,11
,Athletics,75,87,35,687,162,1431,7.56,3.16,1.32,0.294,68.90%,44.90%,13.90%,88.2,4.67,4.57,4.54,9.6
,Mariners,78,84,39,689,162,1440.1,7.77,3.06,1.48,0.283,72.70%,40.30%,14.10%,87.9,4.46,4.7,4.64,9.3
,Braves,72,90,36,692,162,1441.1,7.86,3.65,1.2,0.302,70.10%,44.50%,12.50%,87.5,4.72,4.51,4.67,8.9
,Twins,85,77,42,682,162,1436,7.31,3.03,1.4,0.296,72.50%,42.40%,13.50%,87.8,4.6,4.71,4.75,8.9
,Mets,70,92,34,730,162,1434.2,8.62,3.72,1.38,0.319,70.40%,44.40%,14.90%,86.9,5.01,4.59,4.42,8.7
,Orioles,75,87,35,654,162,1441,7.7,3.62,1.51,0.302,72.20%,44.60%,15.40%,88,4.97,4.96,4.72,8.6
,Padres,71,91,45,679,162,1430.2,8.34,3.49,1.42,0.299,71.10%,47.50%,16.40%,87.5,4.7,4.68,4.34,7.9
,Marlins,77,85,34,742,162,1442.2,7.5,3.91,1.2,0.298,70.70%,42.50%,12.20%,87.4,4.82,4.69,4.9,5.5
,Reds,68,94,33,666,162,1430,8.18,3.97,1.56,0.296,71.10%,44.60%,16.80%,87.2,5.17,5.08,4.66,5.3
,White Sox,67,95,25,682,162,1421.2,7.55,4,1.53,0.281,72.40%,41.90%,14.70%,87.9,4.78,5.17,5.01,4.4
2016,Nationals,95,67,46,670,162,1459.2,9.1,2.89,0.96,0.288,75.00%,43.30%,10.90%,88.1,3.52,3.58,3.82,23.5
,Mets,87,75,55,700,162,1447,8.68,2.73,0.95,0.308,75.60%,44.20%,11.10%,88.6,3.58,3.57,3.78,21.5
,Dodgers,91,71,47,768,162,1453,9.35,2.87,1.02,0.288,73.80%,42.80%,11.70%,87.3,3.7,3.61,3.75,20
,Cubs,103,58,38,665,162,1459.2,8.88,3.05,1.01,0.255,77.50%,46.90%,13.10%,88.3,3.15,3.77,3.74,18.8
